doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;19130;Tukar Faktur;PY-IN-23001604;;2023-01-16;Jefri
13;17749;Tukar Faktur;PY-IN-23001606;;2023-01-16;Ridwan
13;17750;Tukar Faktur;PY-IN-23001606;;2023-01-16;Ridwan
13;17786;Tukar Faktur;PY-IN-23001606;;2023-01-16;Ridwan
13;7202;Tukar Faktur;PY-IN-23001606;;2023-01-16;Ridwan
13;7889;Tukar Faktur;PY-IN-23001606;;2023-01-16;Ridwan
13;5532;Tukar Faktur;PY-IN-23001611;;2023-01-16;Yanto
13;5533;Tukar Faktur;PY-IN-23001611;;2023-01-16;Yanto
13;5539;Tukar Faktur;PY-IN-23001611;;2023-01-16;Yanto
13;5543;Tukar Faktur;PY-IN-23001611;;2023-01-16;Yanto
13;5544;Tukar Faktur;PY-IN-23001611;;2023-01-16;Yanto
13;7983;Tukar Faktur;PY-IN-23001611;;2023-01-16;Yanto
13;19129;Tukar Faktur;PY-IN-23001614;;2023-01-16;Jefri
13;484;Tukar Faktur;PY-IN-23001617;;2023-01-19;Jefri
13;16868;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;16959;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;16969;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;16970;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;20778;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;20951;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;20952;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;27819;Tukar Faktur;PY-IN-23001618;;2023-01-16;Irfan
13;46666;Tukar Faktur;PY-IN-23001619;;2023-01-20;Affen
13;46667;Tukar Faktur;PY-IN-23001619;;2023-01-20;Affen
13;98;Tukar Faktur;PY-IN-23001619;;2023-01-20;Affen
13;20830;Tukar Faktur;PY-IN-23001620;;2023-01-16;Irfan
13;14181;Tukar Faktur;PY-IN-23001621;;2023-01-16;Susilo
13;17088;Tukar Faktur;PY-IN-23001621;;2023-01-16;Susilo
13;11231;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;11239;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;1636;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;5616;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7939;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7940;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7941;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7942;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7943;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7944;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7945;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7946;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;7947;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;1639;Tukar Faktur;PY-IN-23001642;;2023-01-16;Affen
13;42646;Tukar Faktur;PY-IN-23001648;;2023-01-16;Ridwan
13;5555;Tukar Faktur;PY-IN-23001649;;2023-01-16;Ilyas
13;4950;Tukar Faktur;PY-IN-23001651;;2023-01-16;Fuad
13;5554;Tukar Faktur;PY-IN-23001651;;2023-01-16;Fuad
13;4315;Tukar Faktur;PY-IN-23001652;;2023-01-16;Tyo
13;20907;Tukar Faktur;PY-IN-23001671;;2023-01-16;Bibit
13;21760;Tukar Faktur;PY-IN-23001671;;2023-01-16;Bibit
13;41097;Tukar Faktur;PY-IN-23001674;;2023-01-16;Affen
13;8048;Tukar Faktur;PY-IN-23001676;;2023-01-16;AMIR
13;8939;Tukar Faktur;PY-IN-23001676;;2023-01-16;AMIR
13;9199;Tukar Faktur;PY-IN-23001676;;2023-01-16;AMIR
13;27924;Tukar Faktur;PY-IN-23001677;;2023-01-16;Yanto
13;5353;Tukar Faktur;PY-IN-23001680;;2023-01-16;Bibit
13;5354;Tukar Faktur;PY-IN-23001680;;2023-01-16;Bibit
13;5355;Tukar Faktur;PY-IN-23001680;;2023-01-16;Bibit
13;5389;Tukar Faktur;PY-IN-23001680;;2023-01-16;Bibit
13;9999;Tukar Faktur;PY-IN-23001680;;2023-01-16;Bibit
13;16971;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;16972;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;16973;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;16975;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;18930;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;18931;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;18932;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;18933;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;20547;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;20548;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;20549;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;20550;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21429;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21457;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21458;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21459;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21460;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21586;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21587;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21588;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21589;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
13;21590;Tukar Faktur;PY-IN-23001681;;2023-01-16;Imam
