CardCode;CardName;Notes
RS2243;PT CIPTA KREATIF KULINA;Weekly  - Jumat
RS2333;PT HAZ ENERGI BARAKAH;Weekly  - Jumat
RS2937;PT SHINJUU MAKMUR INDONESIA;Weekly  - Jumat
RC0137;PT PIJAR RIZKI NAUDAPA;Weekly  Jumat
RS0363;PT INDOCORE SUKSES;Weekly  Jumat
RS2939;PT BALI BOGA NATURA;Weekly - Jumat
RS3090;PT LADANG BOGA KREATIF;Weekly - Jumat
RS2897;PT BERKAH BERLIPAT GANDA;Minggu ketiga - Senin
RS0581;PT SHIMASENTRA INTIRASA;Bulanan - Setiap tanggal 1-5
RS1241;PT ASTOWA FOOD INDONESIA;Bulanan - Setiap tanggal 1-5
RS2067;PT TREASURE CULINARY INDONESIA;Tanggalan - 10 dan 25
RS0713;PT PARADISE INDONESIA CARPEDIA;Tanggalan - 10 dan 25
RS1331;PT TREASURE CITARASA INDONESIA;Tanggalan - 10 dan 25
RS3041;PT TREASURA CITA MAKMUR;Tanggalan - 10 dan 25
RS2024;PT BERKAT KULINER PASIFIK;Tanggalan - 10 dan 25
SM0095;PT. GS RETAIL INDONESIA;Weekly - SENIN
SM0020;PT.GRACIA MITRA SELARAS;Weekly - SENIN
SM0071;PT. GELAEL LAMPUNG;Weekly - SENIN
SM0065;PT. MAXIM JAYADI ABADI;Weekly - SENIN
SM0113;PT.AKAR PANJI ULUNG;Weekly - SENIN
SM0140;PT MAHADANA DASHA UTAMA;Weekly - SENIN
SM0151;PT LANCAR WIGUNA SEJAHTERA;Weekly - SENIN
SM0077;RUMAH BUAH;Weekly – SELASA
SM0089;PT.RUMBU MEGAH SEMPURNA;Weekly – SELASA
SM0070;WORI SUPERMARKET;Weekly – SELASA
SM0022;PT.HOKKY BERSAMA;Weekly – SELASA
SM0023;PT.HOKKY TE IT;Weekly – SELASA
SM0009;PT.MITRA ADIKARYA MANDIRI;Weekly – SELASA
RS0445;PT. MIDI UTAMA INDONESIA TBK;Weekly – SELASA
SM0203;PT PITAYA SUKSES MANDIRI;Weekly – SELASA
SM0120;PT.GELAEL SUPERMARKET;Weekly - RABU
SM0018;PT.GELAEL SUPERMARKET;Weekly - RABU
SM0178;PT GROWELL NATURAL INDONESIA;Weekly – RABU
SM0146;PT DUTA MANDIRI JAYA;Weekly – KAMIS
SM0163;DUTA CAHAYA SUKSES;Weekly – KAMIS
SM0195;PT BERKAT SERPONG JAYA;Weekly – KAMIS
SM0152;TOP BUAH SEGAR ABADI;Weekly – KAMIS
SM0174;PT FAJAR MITRA INDAH;Weekly – KAMIS
SM0058;PT. HANIL SUPER UTAMA;Weekly – JUMAT
SM0168;CV MOMOGO INDONESIA GLOBAL;TIDAK TUKAR FAKTUR
SM0188;CV RAMORA FORTUGAL;TIDAK TUKAR FAKTUR
OT0140;RAHAYU RUMINDA;TIDAK TUKAR FAKTUR
SM0200;PT ANEKA SOLUSI PANGAN;TIDAK TUKAR FAKTUR
SM0187;CV MEGA;TIDAK TUKAR FAKTUR
SM0196;CV MEGA;TIDAK TUKAR FAKTUR
DS0289;PT SINAR12 BUKIT BARISAN;TIDAK TUKAR FAKTUR
EC0040;CV SALAM DAGING INDONESIA;TIDAK TUKAR FAKTUR
EC0001;PT GLOBAL DIGITAL NIAGA;TIDAK TUKAR FAKTUR
EC0031;PT ANEKA SEGAR MAKMUR;Weekly - SENIN
RS0710;PT. OBS CITRA INDONESIA;TIDAK TUKAR FAKTUR
EC0011;ONLINE TOKOPEDIA;TIDAK TUKAR FAKTUR
EC0015;ONLINE SHOPEE;TIDAK TUKAR FAKTUR
EC0014;ONLINE INSTAGRAM;TIDAK TUKAR FAKTUR
EC0016;ONLINE BLIBLI;TIDAK TUKAR FAKTUR
PS0703;PT SATU SUMBER SARANA;TIDAK TUKAR FAKTUR
CT0085;SESILIA;Tidak Tukar Faktur
DS0150;PT HIMALAYA AGUNG PERKASA;Tidak Tukar Faktur
RQ0045;PT ABCD KOPI INDONESIA;Tidak Tukar Faktur
DS0190;PT JAVA SEA FOOD;Tidak Tukar Faktur
UM0660;KUNANDI PRAMUDIYANTO;Tidak Tukar Faktur
DS0202;PT PRIMA INTERAKTIF;Tidak Tukar Faktur
CT0109;RIZA NUR AKBAR;Tidak Tukar Faktur
CT0178;EVAN FIRMANSYAH L;Tidak Tukar Faktur
DS0069;GUSTIA AMELIA DEVI;Tidak Tukar Faktur
UM0447;JOHN ROBERT CHARLES DUFFY;Tidak Tukar Faktur
MN0068;CV AXELLA MAKMUR GEMILANG;Tidak Tukar Faktur
DS0255;PT KREASI ARANA NUSANTARA;Tidak Tukar Faktur
MN0075;PT HARAPAN IMAN KASIH;Tidak Tukar Faktur
MN0022;PT SAN MIGUEL FOODS INDONESIA;Tidak Tukar Faktur
MN0028;PT CANNING INDONESIAN PRODUCTS;Tidak Tukar Faktur
UM0409;PT SORIN MAHARASA;Tidak Tukar Faktur
DS0097;PT.ADIL MART;Tidak Tukar Faktur
DS0146;CV CIPTA USAHA MANDIRI SEJAHTERA;Tidak Tukar Faktur
MN0054;PT. MACROPRIMA PANGANUTAMA;Tidak Tukar Faktur
DS0154;PT SUMBER TIRTA HAKIKI;Tidak Tukar Faktur
DS0220;PT CLASSIC FINE FOODS INDONESIA;Tidak Tukar Faktur
PS1132;PT TAKAKI INDOROTI PRIMA;Tidak Tukar Faktur
DS0145;PT SEKAR BUMI TBK;Tidak Tukar Faktur
CT0008;CV. ALSYURAFA;weekly - Senin
CT0086;PT. PHAROS INDONESIA;weekly - Senin
MN0057;PT. BOGA OPTIMA SOSAN SUKSES;weekly - Senin
CT0014;LISA SUNARI;weekly - Selasa
DS0086;PT.INTI WAHANA NUSANTARA;weekly - Selasa
MN0019;PT INTI PRIMA RASA;weekly - Selasa
RQ0023;PT.DIMA PEZZO INDONESIA;weekly - Selasa
RQ0063;PT STAFFINDO DINAMIKA MANDIRI;weekly - Selasa
RQ0029;PT GRAHA LAYAR PRIMA;weekly - Selasa
MN0053;CV SICMA INTI UTAMA;weekly - selasa
MN0021;PT BOLESCA FOODINDO;weekly - selasa
RQ0002;CV. DWIGUNA SAJI;weekly - selasa
MN0016;CV ZAYCO BOGA ALIFA;weekly - Rabu
CT0175;SURYO HADIANTO GUNAWAN;weekly - Rabu
RQ0046;PT INDO BANGI KOPITIAM;weekly - Rabu
RQ0036;PT STARINDO INTI BOGA;weekly - Rabu
UM0173;PT. ANUGERAH ANTAR ASIA;weekly - Rabu
MN0076;PT KERTA MULYA SEMESTA;weekly - Rabu
RQ0007;PT. GENERASI MUTIARA BANGSA;weekly - Rabu
RS0876;PT WIRYAMANTA SADINA;weekly - Rabu
CT0149;PT GUNA BHAKTI SUKSES BERSAMA;weekly - Kamis
DS0100;CV FIVA FOOD MEAT;weekly - Kamis
MN0014;PT.NUTRINDO RANA SEJAHTERA;weekly - Kamis
RQ0024;PT.SALAD SEGAR LESTARI;weekly - Kamis
RQ0025;PT.SALAD SEGAR LESTARI;weekly - Kamis
RQ0026;PT SALAD SEGAR LESTARI;weekly - Kamis
RQ0048;PT SALAD SEGAR LESTARI;weekly - Kamis
RQ0055;PT SALAD SEGAR LESTARI;weekly - Kamis
RQ0056;PT SALAD SEGAR LESTARI;weekly - Kamis
RQ0065;PT NUSANTARA SEGAR INDONESIA;weekly - Kamis
RQ0052;PT GANDUM TANGGUH LESTARI;weekly - Kamis
RS2756;PT MITRA SUKSES ARKATAMA;weekly - Kamis
CT0169;PT VIRTUS CULINARY INDONESIA;weekly - Kamis
CT0150;PT CIPTA RASA MULTINDO;weekly - Kamis
DS0240;PT BRACKLEY PACIFIC AGRITRADE;weekly - Kamis
CT0039;PT. JADDI GLOBALINDO;weekly - Jumat
CT0038;PT. JADDI GLOBAL SEJAHTERA;weekly - Jumat
CT0145;PT SINERGI MITRAJAYA ABADI;weekly - Jumat
UM0269;PT. FARSEGA;weekly - Jumat
RQ0001;PT BANDA SENTRAL MAKMUR;weekly - Jumat
CT0042;PT. PANGANSARI UTAMA FOOD DISTRIBUTIONS;weekly - Jumat
RQ0030;PT.EXCELSO MULTIRASA;weekly - Jumat
RQ0066;PT EXCELSO MULTIRASA WARALABA;weekly - Jumat
MN0070;PT. MACROSENTRA NIAGABOGA;weekly - Jumat
DS0054;PT. MITLOIN GLOBAL GROUP;weekly - Jumat
SM0142;PT. BERKARYA MAKMUR SEJAHTERA;Weekly – Kamis
SM0093;PT. KAGE DWIJAYA;Weekly – Selasa
SM0062;PT. KAWANUA DASA PRATAMA;Weekly – Selasa
SM0010;PT AKUR PRATAMA;Weekly – Kamis
SM0016;PT. DUNIA PUTRA ABADI;Weekly – Senin
SM0032;PT LUCKY STRATEGIS;Weekly – Rabu
SM0193;PT. MITRA BELANJA ANDA;Weekly – Senin
SM0162;PT. KKV INTERNATIONAL INDONESIA;Weekly – Jumat
SM0155;PT. PROTEINDOTAMA CIPTA PANGAN;Weekly – POS
SM0205;PT. PROTEINDOTAMA CIPTA PANGAN;Weekly – Senin
SM0167;PT CENTRAL REZEKI COLD STORAGE;Weekly – Senin
SM0206;CV RADEN BUAH LESTARI;Weekly – Selasa
OT0037;CHAIRUL ANWAR ( TOKO KIAN );Weekly – Rabu
SM0209;PT. KIMINDO JAYA ABADI;Weekly – Rabu
SM0117;PT FRESH ONE;Weekly – Selasa
SM0199;PT SUMBER ALFARIA TRIJAYA;Irfan
SM0198;PT INDOMARCO PRISMATAMA;B2B
SM0027;PT LION SUPER INDO;B2B
SM0172;PT BOGA MAJU ABADI;B2B
SM0149;PT. SEJAHTERA EKA MANDIRI;Weekly - Senin
SM0050;PT. SUPRA BOGA LESTARI;Weekly – Selasa (online)
SM0051;PT. SWALAYAN SUKSES ABADI;Monthly – 8-13 & 18 - 23
OT0146;DAVID (FAJAR FROZEN);Weekly - Rabu
RQ0012;PT PRIMA USAHA ERA MANDIRI;Weekly - Senin
RQ0051;PT KHAS PRIMA NUSANTARA;Weekly - Senin
PS0488;PT MAXX COFFEE PRIMA;Weekly - Senin
CT0048;PT SODEXO INDONESIA;Weekly - Senin
CT0130;ANDARUNI;Weekly - SENIN
CT0106;PT CIBADAK AGRI;Weekly - SENIN
CT0132;TEDDY HARSONO;Weekly - SENIN
CT0045;PUSPA WIDJAJA UTAMA;Weekly - SELASA
RQ0022;PT QUIZNOSINDO;Weekly - SELASA
CT0035;PT INDOCATER;Weekly - SELASA
CT0195;PT INDOCATER - SURYA BUANA LESTARIJAYA;Weekly - SELASA
MN0030;PT WHAKYUNG AROMA CREATION;Weekly - SELASA
CT0123;PT GOBEL DHARMA SARANA KARYA;Weekly - SELASA
MN0044;ARIOBIMO MAKMUR SENTOSA;Weekly - SELASA
RQ0059;ASEP ALI NURDIN;Weekly – SELASA
DS0092;LIO NARDO;Weekly - SELASA
MN0031;PT ANUGERAH CITRA BOGA;Weekly - SELASA
MN0005;PT ASIA FROST;Weekly - SELASA
MN0007;PT MADUSARI NUSAPERDANA;Weekly - SELASA
RQ0035;PT DUNKINDO LESTARI;Weekly – SELASA
RQ0058;PT BAKTI ABADI INTI MAKMUR;Weekly – SELASA
RQ0016;PT SARI BURGER INDONESIA;Weekly – SELASA
RQ0067;PT SARI CHICKEN INDONESIA;Weekly – SELASA
MN0064;PT MCDELICA FOOD INDONESIA;Weekly - SELASA / JUMAT (BY POS)
MN0001;PT BELFOODS INDONESIA;Weekly - SELASA / JUMAT (BY POS)
DS0265;PT PANGAN AGUNG SENTOSA;Weekly - SELASA / JUMAT (BY POS)
MN0002;PT CHAROEN POKPHAND INDONESIA;Weekly - SELASA / JUMAT (BY POS)
CT0128;PT INTI IDOLA ANUGERAH;Weekly - SELASA / JUMAT (BY POS)
MN0077;PT PRISTINE PRIMA LESTARI;Weekly - SELASA / JUMAT (BY POS)
DS0226;PT MALINDO FOOD DELIGHT;Weekly - SELASA / JUMAT (BY POS)
DS0160;CV OMEGA MAJU JAYA;Weekly - SELASA / JUMAT (BY POS)
CT0185;CV TITIAN FOOD MAJU BERKAH;Weekly - SELASA / JUMAT (BY POS)
CT0126;MADINA KEBAB;Weekly - SELASA / JUMAT (BY POS)
CT0152;ANDERS REINALDO;Weekly - SELASA / JUMAT (BY POS)
DS0164;PT LAUTAN CAHAYA BERLIAN;Weekly - SELASA / JUMAT (BY POS)
DS0178;PT KAISAR UTAMA;Weekly - SELASA / JUMAT (BY POS)
DS0149;ANDRI SUSANTO;Weekly - SELASA / JUMAT (BY POS)
RQ0064;PT TRIJAYA LAKSANA KARYA;Weekly - SELASA / JUMAT (BY POS)
DS0204;RHY KHY JUN;Weekly - SELASA / JUMAT (BY POS)
DS0183;PT ATHAN GEMILANG PERKASA;Weekly - SELASA / JUMAT (BY POS)
DS0144;CV MAMORA;Weekly - SELASA / JUMAT (BY POS)
DS0235;PT PRIZAR GLOBAL MANDIRI;Weekly - SELASA / JUMAT (BY POS)
RQ0037;PT PRIMA BOGA FADILINDO;Weekly - SELASA / JUMAT (BY POS)
RS0503;PT. PELANGI ZARA INDAH;Weekly - SELASA / JUMAT (BY POS)
RS1509;CV BOGA INTI SEJAHTERA;Weekly - SELASA / JUMAT (BY POS)
RS1525;PT LIMA SEKAWAN MAKMUR;Weekly - SELASA / JUMAT (BY POS)
RS2257;PT JAYA MAKMUR DUA;Weekly - SELASA / JUMAT (BY POS)
RS0246;PT CAVALLINO MITRA JAYA;Weekly - SELASA / JUMAT (BY POS)
RS0656;PT ZHUMA MITRA JAYA;Weekly - SELASA / JUMAT (BY POS)
RS0656;PT ZHUMA MITRA JAYA;Weekly - SELASA / JUMAT (BY POS)
RS1937;NADYA ESMERALDA;Weekly - SELASA / JUMAT (BY POS)
RS2104;KOPI BAR;Weekly - SELASA / JUMAT (BY POS)
RS2101;PT KOPI BENERAN INDONESIA;Weekly - SELASA / JUMAT (BY POS)
RS0570;PT SELERA UTAMA MAKMUR;Weekly - SELASA / JUMAT (BY POS)
RS0956;PT SENTRA KULINER SEJAHTERA;Weekly - SELASA / JUMAT (BY POS)
RS1561;PT RAJA TOP FOOD;Weekly - SELASA / JUMAT (BY POS)
MN0024;PT MULIA RANA FROZINDO;Weekly - SELASA / JUMAT (BY POS)
DS0282;CV ZAFIRA FROZEN BEEF;Weekly - SELASA / JUMAT (BY POS)
RS0746;ROTI BAKAR 88;Weekly - SELASA / JUMAT (BY POS)
RS1832;KHO ALBERT KOSASIH;Weekly - SELASA / JUMAT (BY POS)
RS2044;TURMUDZI;Weekly - SELASA / JUMAT (BY POS)
RS1571;PT GOLDEN ANAK TRITUNGGAL;Weekly - SELASA / JUMAT (BY POS)
UM0200;PT LION BOGA;Monthly - RABU
RQ0050;PT DENNY BOGA INDONESIA;Weekly - RABU
DS0167;PT SUKANDA DJAYA;Weekly - RABU
RQ0006;PT DOM PIZZA INDONESIA;Weekly – RABU
