docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
96279;081.007-23.17042183;080.007-23.17042183;302205060;2023-02-21 00:00:00.000;RS1913;PT MAHAKARYA GAYA ANUGERAH;SO202302122274
96285;081.007-23.17042189;080.007-23.17042189;302205063;2023-02-21 00:00:00.000;RS0209;PT. BALDMAN GROUP;SO202302122349
96287;081.007-23.17042191;080.007-23.17042191;302205065;2023-02-21 00:00:00.000;RS2897;PT BERKAH BERLIPAT GANDA;SO202302122401
96288;081.007-23.17042192;080.007-23.17042192;302205066;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302122420
95789;081.007-23.17041700;080.007-23.17041700;302103694;2023-02-21 00:00:00.000;EC0014;ONLINE INSTAGRAM;SO202302120923
95790;081.007-23.17041701;080.007-23.17041701;302103695;2023-02-21 00:00:00.000;EC0014;ONLINE INSTAGRAM;SO202302120934
95792;081.007-23.17041703;080.007-23.17041703;302103696;2023-02-21 00:00:00.000;EC0014;ONLINE INSTAGRAM;SO202302121252
95794;081.007-23.17041705;080.007-23.17041705;302204966;2023-02-21 00:00:00.000;RS2957;PT CIPTA BOGA MAJU;SO202302121855
95797;081.007-23.17041708;080.007-23.17041708;302204968;2023-02-21 00:00:00.000;RS0985;PT. INDOBOGA JAYA KUSUMA;SO202302121858
95798;081.007-23.17041709;080.007-23.17041709;302204969;2023-02-21 00:00:00.000;RS3110;PT PILAR BOGA PERKASA;SO202302121872
95799;081.007-23.17041710;080.007-23.17041710;302103697;2023-02-21 00:00:00.000;EC0014;ONLINE INSTAGRAM;SO202302122406
95803;081.007-23.17041714;080.007-23.17041714;302103700;2023-02-22 00:00:00.000;EC0014;ONLINE INSTAGRAM;SO202302122810
96695;081.007-23.17042596;080.007-23.17042596;302103880;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125115
96697;081.007-23.17042598;080.007-23.17042598;302502456;2023-02-25 00:00:00.000;RS1440;PT.KITCHENETTE LESTARI;SO202302125471
96698;081.007-23.17042599;080.007-23.17042599;302103881;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125116
96699;081.007-23.17042600;080.007-23.17042600;302103882;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125117
96700;081.007-23.17042601;080.007-23.17042601;302205115;2023-02-24 00:00:00.000;HT0132;PT. WISMA NUSANTARA INTERNATIONAL;SO202302126096
96701;081.007-23.17042602;080.007-23.17042602;302502457;2023-02-24 00:00:00.000;RS2049;PT PRIMA ISMAYA SEJAHTERA;SO202302125396
96704;081.007-23.17042605;080.007-23.17042605;302502458;2023-02-24 00:00:00.000;RS1440;PT.KITCHENETTE LESTARI;SO202302125472
96705;081.007-23.17042606;080.007-23.17042606;302304549;2023-02-21 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302120576
96708;081.007-23.17042609;080.007-23.17042609;302304550;2023-02-21 00:00:00.000;RS1377;PT. PASIFIK MULTIRASA INDONESIA;SO202302120745
96709;081.007-23.17042610;080.007-23.17042610;302103883;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125118
96712;081.007-23.17042613;080.007-23.17042613;302103884;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125119
96714;081.007-23.17042615;080.007-23.17042615;302103885;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125120
96715;081.007-23.17042616;080.007-23.17042616;302304552;2023-02-21 00:00:00.000;RS2485;PT. KUNGFU WOK FORTUNE INDONESIA;SO202302120758
96716;081.007-23.17042617;080.007-23.17042617;302304553;2023-02-21 00:00:00.000;RS2485;PT. KUNGFU WOK FORTUNE INDONESIA;SO202302120759
96717;081.007-23.17042618;080.007-23.17042618;302103886;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125121
96718;081.007-23.17042619;080.007-23.17042619;302502460;2023-02-24 00:00:00.000;RQ0024;PT.SALAD SEGAR LESTARI;SO202302125474
96719;081.007-23.17042620;080.007-23.17042620;302205117;2023-02-24 00:00:00.000;HT0132;PT. WISMA NUSANTARA INTERNATIONAL;SO202302125955
96720;081.007-23.17042621;080.007-23.17042621;302304554;2023-02-21 00:00:00.000;RS1715;CV BERKAT BOGA MAKMUR;SO202302120996
96722;081.007-23.17042623;080.007-23.17042623;302103887;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125122
96725;081.007-23.17042626;080.007-23.17042626;302103888;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125123
96729;081.007-23.17042630;080.007-23.17042630;302205118;2023-02-24 00:00:00.000;HT0079;PT. SARIARTHAMAS HOTEL INTERNATIONAL;SO202302125946
96732;081.007-23.17042633;080.007-23.17042633;302502463;2023-02-24 00:00:00.000;RQ0024;PT.SALAD SEGAR LESTARI;SO202302125491
96733;081.007-23.17042634;080.007-23.17042634;302103889;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125124
96735;081.007-23.17042636;080.007-23.17042636;302205119;2023-02-24 00:00:00.000;HT0132;PT. WISMA NUSANTARA INTERNATIONAL;SO202302125919
96736;081.007-23.17042637;080.007-23.17042637;302304558;2023-02-21 00:00:00.000;RS1053;PT. KIDETA BOGA MULTIRASA;SO202302121299
96740;081.007-23.17042641;080.007-23.17042641;302304559;2023-02-21 00:00:00.000;RS1053;PT. KIDETA BOGA MULTIRASA;SO202302121326
96742;081.007-23.17042643;080.007-23.17042643;302502466;2023-02-24 00:00:00.000;RS2506;PT. MEGAH SUKSES GEMILANG;SO202302125528
96744;081.007-23.17042645;080.007-23.17042645;302304562;2023-02-21 00:00:00.000;RS3041;PT TREASURASA CITA MAKMUR;SO202302121554
95907;081.007-23.17041818;080.007-23.17041818;302205014;2023-02-21 00:00:00.000;RS0209;PT. BALDMAN GROUP;SO202302122174
95910;081.007-23.17041821;080.007-23.17041821;302205015;2023-02-21 00:00:00.000;RS2825;PT CAKRAWALA MITRA ANUGERAH;SO202302122178
95911;081.007-23.17041822;080.007-23.17041822;302804465;2023-02-20 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302122078
95913;081.007-23.17041824;080.007-23.17041824;302804466;2023-02-20 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302122087
95914;081.007-23.17041825;080.007-23.17041825;302205016;2023-02-21 00:00:00.000;RS3148;PT ROYAL KREASI INDONESIA;SO202302122190
95915;081.007-23.17041826;080.007-23.17041826;302804467;2023-02-20 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302122086
95918;081.007-23.17041829;080.007-23.17041829;302103735;2023-02-24 00:00:00.000;SM0051;PT. SWALAYAN SUKSES ABADI;SO202302125720
95920;081.007-23.17041831;080.007-23.17041831;302205018;2023-02-21 00:00:00.000;RS1095;PT. ECHIGOYA INDONESIA;SO202302122203
