docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
96934;081.007-23.17042832;080.007-23.17042832;302103911;2023-02-27 00:00:00.000;SM0030;PT. LOTTE MART INDONESIA;SO202302128888
96935;081.007-23.17042833;080.007-23.17042833;302401211;2023-02-22 00:00:00.000;PS0181;HO TJIUK LAN;SO202302122518
96936;081.007-23.17042834;080.007-23.17042834;302304611;2023-02-21 00:00:00.000;SM0140;PT MAHADANA DASHA UTAMA;SO202302120959
96938;081.007-23.17042836;080.007-23.17042836;302304613;2023-02-21 00:00:00.000;CT0196;CV KENANGA;SO202302121345
96939;081.007-23.17042837;080.007-23.17042837;302103912;2023-02-20 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122296
96942;081.007-23.17042840;080.007-23.17042840;302103913;2023-02-20 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122309
96944;081.007-23.17042842;080.007-23.17042842;302304617;2023-02-21 00:00:00.000;RS2270;PT ANIMALE KULINER INDONESIA;SO202302121359
96945;081.007-23.17042843;080.007-23.17042843;302304618;2023-02-21 00:00:00.000;RS3122;PT BERKAH BOGA MANDIRI;SO202302121360
96946;081.007-23.17042844;080.007-23.17042844;302304619;2023-02-21 00:00:00.000;RS2756;PT MITRA SUKSES ARKATAMA;SO202302121365
96289;081.007-23.17042193;080.007-23.17042193;302205067;2023-02-21 00:00:00.000;RS0325;PT. GASTRONOMICA INDONESIA;SO202302122433
96290;081.007-23.17042194;080.007-23.17042194;302804526;2023-02-21 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302122752
96292;081.007-23.17042196;080.007-23.17042196;302304425;2023-02-21 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302121754
96295;081.007-23.17042199;080.007-23.17042199;302205068;2023-02-21 00:00:00.000;RS2317;PT WOLFGANG STEAKHOUSE INDONESIA;SO202302122437
96296;081.007-23.17042200;080.007-23.17042200;302304426;2023-02-21 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302121757
96297;081.007-23.17042201;080.007-23.17042201;302804530;2023-02-21 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302122651
96298;081.007-23.17042202;080.007-23.17042202;302205069;2023-02-21 00:00:00.000;RC0113;CV PRATAMA SHELLINDO;SO202302122506
96299;081.007-23.17042203;080.007-23.17042203;302304427;2023-02-21 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302121761
96300;081.007-23.17042204;080.007-23.17042204;302804531;2023-02-20 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302122264
96301;081.007-23.17042205;080.007-23.17042205;302304428;2023-02-21 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302121762
96304;081.007-23.17042208;080.007-23.17042208;302205070;2023-02-21 00:00:00.000;RS2787;PT MEGAGUNA USAHA MAKMUR;SO202302122545
96305;081.007-23.17042209;080.007-23.17042209;302205071;2023-02-21 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302118475
96306;081.007-23.17042210;080.007-23.17042210;302205072;2023-02-21 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302118476
96311;081.007-23.17042214;080.007-23.17042214;302804534;2023-02-20 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302122357
96312;081.007-23.17042215;080.007-23.17042215;302804535;2023-02-20 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302122286
97079;081.007-23.17042971;080.007-23.17042971;302401224;2023-02-22 00:00:00.000;RS3148;PT ROYAL KREASI INDONESIA;SO202302123207
97080;081.007-23.17042972;080.007-23.17042972;302205204;2023-02-24 00:00:00.000;HT0268;PT DUTA ANGGADA REALTY TBK;SO202302125905
97081;081.007-23.17042973;080.007-23.17042973;302502526;2023-02-23 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302123141
97083;081.007-23.17042975;080.007-23.17042975;302205205;2023-02-24 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302125906
97085;081.007-23.17042977;080.007-23.17042977;302502527;2023-02-23 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302123142
97089;081.007-23.17042981;080.007-23.17042981;302205207;2023-02-24 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302125911
97091;081.007-23.17042983;080.007-23.17042983;302502528;2023-02-23 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302123143
97093;081.007-23.17042985;080.007-23.17042985;302205208;2023-02-24 00:00:00.000;HT0332;PT CITRA KIRANA HIJAU;SO202302125916
97095;081.007-23.17042987;080.007-23.17042987;302205209;2023-02-24 00:00:00.000;HT0268;PT DUTA ANGGADA REALTY TBK;SO202302125918
97096;081.007-23.17042988;080.007-23.17042988;302502529;2023-02-23 00:00:00.000;RS2993;PT GASTRO SARANA BERKA;SO202302123176
97098;081.007-23.17042990;080.007-23.17042990;302401225;2023-02-22 00:00:00.000;RS0698;PT. MAS MILENNIUM INDONESIA;SO202302123247
97102;081.007-23.17042994;080.007-23.17042994;302205211;2023-02-24 00:00:00.000;HT0078;PT. SANGGRAHA NUSA RAYA;SO202302125962
97110;081.007-23.17043002;080.007-23.17043002;302205213;2023-02-24 00:00:00.000;HT0137;HARRIS HOTEL & CONVENTION BEKASI;SO202302125965
97114;081.007-23.17043004;080.007-23.17043004;302304649;2023-02-21 00:00:00.000;RS0496;PT. PANCIOUS TIRTA JAYA;SO202302121834
97116;081.007-23.17043006;080.007-23.17043006;302205214;2023-02-24 00:00:00.000;HT0164;PT. PRISMA ROYAL HOTEL;SO202302125991
97120;081.007-23.17043009;080.007-23.17043009;302304650;2023-02-21 00:00:00.000;RS0496;PT. PANCIOUS TIRTA JAYA;SO202302121837
97121;081.007-23.17043010;080.007-23.17043010;302502533;2023-02-23 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302123273
97122;081.007-23.17043011;080.007-23.17043011;302205215;2023-02-24 00:00:00.000;HT0328;PT. RASUNA RESIDENCE DEVELOPMENT;SO202302126003
97123;081.007-23.17043012;080.007-23.17043012;302205216;2023-02-24 00:00:00.000;HT0328;PT. RASUNA RESIDENCE DEVELOPMENT;SO202302126005
97124;081.007-23.17043013;080.007-23.17043013;302502534;2023-02-23 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302123274
96423;081.007-23.17042325;080.007-23.17042325;302304479;2023-02-24 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302125165
96424;081.007-23.17042326;080.007-23.17042326;302502363;2023-02-22 00:00:00.000;RS0871;PT. KITCHENETTE LESTARI;SO202302121922
96425;081.007-23.17042327;080.007-23.17042327;302304480;2023-02-28 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302121924
96426;081.007-23.17042328;080.007-23.17042328;302304481;2023-02-22 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302121928
96427;081.007-23.17042329;080.007-23.17042329;302502364;2023-02-22 00:00:00.000;RS0871;PT. KITCHENETTE LESTARI;SO202302121925
96428;081.007-23.17042330;080.007-23.17042330;302103844;2023-02-21 00:00:00.000;FC0020;FOC LL;SO202302122341
96431;081.007-23.17042333;080.007-23.17042333;302103846;2023-02-21 00:00:00.000;FC0020;FOC LL;SO202302122346
96432;081.007-23.17042334;080.007-23.17042334;302304482;2023-02-22 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302121927
96433;081.007-23.17042335;080.007-23.17042335;302304483;2023-02-22 00:00:00.000;RS2051;PT KITCHENETTE LESTARI;SO202302121926
96434;081.007-23.17042336;080.007-23.17042336;302205101;2023-02-21 00:00:00.000;PS0869;PT. KOPI PUTRA BANGSA;SO202302121382
96435;081.007-23.17042337;080.007-23.17042337;302502366;2023-02-22 00:00:00.000;RS2049;PT PRIMA ISMAYA SEJAHTERA;SO202302122198
96436;081.007-23.17042338;080.007-23.17042338;302304484;2023-02-22 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302121947
96438;081.007-23.17042340;080.007-23.17042340;302304485;2023-02-22 00:00:00.000;CT0037;PT. KITCHENETTE LESTARI;SO202302121916
97592;081.007-23.17043481;080.007-23.17043481;302304727;2023-02-22 00:00:00.000;RS1704;PT ANOMALI COFFEE;SO202302121012
97598;081.007-23.17043487;080.007-23.17043487;302304728;2023-02-22 00:00:00.000;PS0488;PT MAXX COFFEE PRIMA;SO202302121522
97599;081.007-23.17043488;080.007-23.17043488;302205321;2023-02-23 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302124421
97600;081.007-23.17043489;080.007-23.17043489;302205322;2023-02-23 00:00:00.000;HT0108;PT. JAYA MANDARIN AGUNG;SO202302124425
97601;081.007-23.17043490;080.007-23.17043490;302304729;2023-02-22 00:00:00.000;RS2255;PT BOGA MAKMUR MANDIRI;SO202302121569
97602;081.007-23.17043491;080.007-23.17043491;302304730;2023-02-22 00:00:00.000;RS2255;PT BOGA MAKMUR MANDIRI;SO202302121575
97605;081.007-23.17043494;080.007-23.17043494;302304731;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121664
97606;081.007-23.17043495;080.007-23.17043495;302205323;2023-02-23 00:00:00.000;HT0108;PT. JAYA MANDARIN AGUNG;SO202302124426
97608;081.007-23.17043497;080.007-23.17043497;302304732;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121678
97612;081.007-23.17043501;080.007-23.17043501;302205325;2023-02-23 00:00:00.000;RS1726;PT.LANGGENG DUNIA SELARAS;SO202302124433
97613;081.007-23.17043502;080.007-23.17043502;302304733;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121686
97618;081.007-23.17043507;080.007-23.17043507;302304735;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121687
97619;081.007-23.17043508;080.007-23.17043508;302205327;2023-02-23 00:00:00.000;HT0063;PT. METROPOLITAN LAND Tbk;SO202302124445
97625;081.007-23.17043513;080.007-23.17043513;302304737;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121729
97629;081.007-23.17043517;080.007-23.17043517;302205330;2023-02-23 00:00:00.000;RS0686;PT. GRAHA SIDANG PRATAMA;SO202302124455
97644;081.007-23.17043530;080.007-23.17043530;302205331;2023-02-23 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302124472
97647;081.007-23.17043533;080.007-23.17043533;302205332;2023-02-23 00:00:00.000;HT0027;PT. GESIT SARANA PERKASA;SO202302124476
97653;081.007-23.17043539;080.007-23.17043539;302304745;2023-02-22 00:00:00.000;RS2255;PT BOGA MAKMUR MANDIRI;SO202302122055
97657;081.007-23.17043543;080.007-23.17043543;302205333;2023-02-23 00:00:00.000;HT0212;PT. GRAHAWITA SANTIKA;SO202302124488
97658;081.007-23.17043544;080.007-23.17043544;302304748;2023-02-22 00:00:00.000;RS0274;PT. CULINA GLOBAL UTAMA;SO202302123387
97659;081.007-23.17043545;080.007-23.17043545;302304749;2023-02-22 00:00:00.000;RS0274;PT. CULINA GLOBAL UTAMA;SO202302123394
97661;081.007-23.17043547;080.007-23.17043547;302205334;2023-02-23 00:00:00.000;HT0069;PT. PADMA SUASA;SO202302124519
97665;081.007-23.17043551;080.007-23.17043551;302304751;2023-02-22 00:00:00.000;RS0166;PT. SUPER POTATO INDONESIA;SO202302124045
96642;081.007-23.17042542;080.007-23.17042542;302103872;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124828
96643;081.007-23.17042543;080.007-23.17042543;302304527;2023-02-21 00:00:00.000;PS0908;PT BAROKAH DUNIA AKHIRAT;SO202302119857
96645;081.007-23.17042545;080.007-23.17042545;302304528;2023-02-21 00:00:00.000;PS0908;PT BAROKAH DUNIA AKHIRAT;SO202302119860
96649;081.007-23.17042549;080.007-23.17042549;302304532;2023-02-21 00:00:00.000;RS3035;PT SOOKDAL FOOD INDONESIA;SO202302120722
96653;081.007-23.17042553;080.007-23.17042553;302304534;2023-02-21 00:00:00.000;RC0148;CV BAGYA SEMPULUR;SO202302120980
96654;081.007-23.17042554;080.007-23.17042554;302304535;2023-02-21 00:00:00.000;RS0826;PT. THE BARBECUE PLAZA;SO202302121112
96657;081.007-23.17042557;080.007-23.17042557;302103874;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125109
96663;081.007-23.17042563;080.007-23.17042563;302304538;2023-02-21 00:00:00.000;RS2614;PT ALAMI SEJAHTERA NUSANTARA;SO202302121275
96667;081.007-23.17042567;080.007-23.17042567;302304541;2023-02-21 00:00:00.000;RS2187;PT TRI AGUNG NUSANTARA NARA;SO202302121298
96670;081.007-23.17042570;080.007-23.17042570;302205112;2023-02-21 00:00:00.000;PS0531;ALAN DARMA SAPUTRA;SO202302121461
96673;081.007-23.17042573;080.007-23.17042573;302304543;2023-02-21 00:00:00.000;RS1809;PT ARTISAN KULINER INDONESIA;SO202302121380
96674;081.007-23.17042574;080.007-23.17042574;302103875;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125110
96676;081.007-23.17042577;080.007-23.17042577;302304544;2023-02-21 00:00:00.000;SM0009;PT. MITRA ADIKARYA MANDIRI;SO202302121400
96678;081.007-23.17042579;080.007-23.17042579;302304545;2023-02-21 00:00:00.000;RS0592;PT. SUM MUSTIKA PRIMA;SO202302121404
96683;081.007-23.17042584;080.007-23.17042584;302205113;2023-02-24 00:00:00.000;HT0132;PT. WISMA NUSANTARA INTERNATIONAL;SO202302126091
96684;081.007-23.17042585;080.007-23.17042585;302304548;2023-02-21 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302120388
96685;081.007-23.17042586;080.007-23.17042586;302205114;2023-02-24 00:00:00.000;HT0132;PT. WISMA NUSANTARA INTERNATIONAL;SO202302126093
96686;081.007-23.17042587;080.007-23.17042587;302103876;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125111
96687;081.007-23.17042588;080.007-23.17042588;302103877;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125112
96691;081.007-23.17042592;080.007-23.17042592;302103878;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125113
96692;081.007-23.17042593;080.007-23.17042593;302103879;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125114
96694;081.007-23.17042595;080.007-23.17042595;302502455;2023-02-24 00:00:00.000;RS2927;PT EMA INTI MITRA;SO202302125282
97534;081.007-23.17043425;080.007-23.17043425;302205301;2023-02-23 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302124254
97535;081.007-23.17043426;080.007-23.17043426;302205302;2023-02-23 00:00:00.000;HT0162;PT. GRAHA PAKUBUWONO KUSUMA;SO202302124256
97536;081.007-23.17043427;080.007-23.17043427;302205303;2023-02-23 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302124260
97540;081.007-23.17043431;080.007-23.17043431;302205306;2023-02-23 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302124275
97541;081.007-23.17043432;080.007-23.17043432;302304706;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302123360
97542;081.007-23.17043433;080.007-23.17043433;302205307;2023-02-23 00:00:00.000;HT0137;HARRIS HOTEL & CONVENTION BEKASI;SO202302124277
97544;081.007-23.17043435;080.007-23.17043435;302205309;2023-02-23 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302124293
97546;081.007-23.17043437;080.007-23.17043437;302205310;2023-02-23 00:00:00.000;HT0234;PT. CITRA KIRANA PANTAI;SO202302124334
97547;081.007-23.17043438;080.007-23.17043438;302304708;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302123496
97548;081.007-23.17043439;080.007-23.17043439;302205311;2023-02-23 00:00:00.000;HT0234;PT. CITRA KIRANA PANTAI;SO202302124335
97549;081.007-23.17043440;080.007-23.17043440;302304709;2023-02-22 00:00:00.000;RS0412;PT. LEGENDA KULINER;SO202302123514
97550;081.007-23.17043441;080.007-23.17043441;302304710;2023-02-22 00:00:00.000;RS2248;PT PEMUDA CARI CUAN;SO202302123535
97554;081.007-23.17041996;080.007-23.17041996;302700256;2023-02-28 00:00:00.000;PS0567;HENDRY MULYADI CHANDRA;SO202302128050
97561;081.007-23.17043450;080.007-23.17043450;302205312;2023-02-23 00:00:00.000;HT0234;PT. CITRA KIRANA PANTAI;SO202302124343
97224;081.007-23.17043113;080.007-23.17043113;302205252;2023-02-24 00:00:00.000;HT0279;PT MNC LAND;SO202302126149
97225;081.007-23.17043114;080.007-23.17043114;302103932;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123847
97226;081.007-23.17043115;080.007-23.17043115;302401229;2023-02-22 00:00:00.000;RS0193;PT. API METRA BOGA;SO202302123306
97227;081.007-23.17043116;080.007-23.17043116;302103933;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123160
97228;081.007-23.17043117;080.007-23.17043117;302304670;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121623
97229;081.007-23.17043118;080.007-23.17043118;302103934;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124106
97230;081.007-23.17043119;080.007-23.17043119;302205253;2023-02-21 00:00:00.000;RS0686;PT. GRAHA SIDANG PRATAMA;SO202302121950
97231;081.007-23.17043120;080.007-23.17043120;302103935;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123526
97232;081.007-23.17043121;080.007-23.17043121;302103936;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122980
97234;081.007-23.17043123;080.007-23.17043123;302205254;2023-02-21 00:00:00.000;RS0686;PT. GRAHA SIDANG PRATAMA;SO202302121957
97235;081.007-23.17043124;080.007-23.17043124;302103938;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122562
97236;081.007-23.17043125;080.007-23.17043125;302103939;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123756
97237;081.007-23.17043126;080.007-23.17043126;302205255;2023-02-23 00:00:00.000;HT0185;PT. HILSCO ARTHA MAS;SO202302122723
97238;081.007-23.17043127;080.007-23.17043127;302304671;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302121636
97243;081.007-23.17043132;080.007-23.17043132;302205258;2023-02-22 00:00:00.000;HT0272;PT BINA GRAHA MAKMUR;SO202302123002
97245;081.007-23.17043134;080.007-23.17043134;302103941;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123561
97247;081.007-23.17043136;080.007-23.17043136;302103942;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123558
97250;081.007-23.17043139;080.007-23.17043139;302103943;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124622
97252;081.007-23.17043141;080.007-23.17043141;302103944;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124623
97253;081.007-23.17043142;080.007-23.17043142;302205261;2023-02-22 00:00:00.000;HT0272;PT BINA GRAHA MAKMUR;SO202302123005
97254;081.007-23.17043143;080.007-23.17043143;302103945;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123164
97255;081.007-23.17043144;080.007-23.17043144;302103946;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302123531
97256;081.007-23.17043145;080.007-23.17043145;302205262;2023-02-22 00:00:00.000;HT0272;PT BINA GRAHA MAKMUR;SO202302123006
97258;081.007-23.17043147;080.007-23.17043147;302205263;2023-02-22 00:00:00.000;RS0686;PT. GRAHA SIDANG PRATAMA;SO202302123221
97260;081.007-23.17043149;080.007-23.17043149;302205264;2023-02-23 00:00:00.000;HT0061;THE HERMITAGE HOTEL;SO202302123293
97261;081.007-23.17043150;080.007-23.17043150;302205265;2023-02-23 00:00:00.000;HT0037;PT. GRAND INDONESIA;SO202302123376
97263;081.007-23.17043152;080.007-23.17043152;302304674;2023-02-25 00:00:00.000;RS2530;PT BANGOR BERKEMBANG BERSAMA;SO202302125225
97265;081.007-23.17043154;080.007-23.17043154;302205266;2023-02-23 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302123437
97266;081.007-23.17043155;080.007-23.17043155;302304675;2023-02-25 00:00:00.000;RS3097;PT MARANNU CENTRAL JAYA;SO202302126581
97268;081.007-23.17043157;080.007-23.17043157;302304676;2023-02-22 00:00:00.000;RS0613;WARUNG TEKKO;SO202302126583
97269;081.007-23.17043158;080.007-23.17043158;302205267;2023-02-22 00:00:00.000;RS0241;PT. CAFE BATAVIA;SO202302123455
97270;081.007-23.17043159;080.007-23.17043159;302304677;2023-02-25 00:00:00.000;UM0240;PT. SRI ANDARA SHIVA;SO202302127353
97272;081.007-23.17043161;080.007-23.17043161;302304678;2023-02-25 00:00:00.000;GR0014;PT. INDOKULINA SARANA UTAMA;SO202302127582
97273;081.007-23.17043162;080.007-23.17043162;302205268;2023-02-23 00:00:00.000;HT0129;PT. SWADHARMA KERRY SATYA;SO202302123600
97274;081.007-23.17043163;080.007-23.17043163;302304679;2023-02-25 00:00:00.000;RS2287;PT SINGA FOOD INTERNATIONAL;SO202302127452
97276;081.007-23.17043165;080.007-23.17043165;302205269;2023-02-22 00:00:00.000;HT0174;PT SIMA GRAHA UTAMA;SO202302123639
96997;081.007-23.17042895;080.007-23.17042895;302304634;2023-02-25 00:00:00.000;DS0151;PT KHARISMA CAHAYA ABADI;SO202302127651
96998;081.007-23.17042896;080.007-23.17042896;302205169;2023-02-24 00:00:00.000;HT0108;PT. JAYA MANDARIN AGUNG;SO202302125622
97000;081.007-23.17042898;080.007-23.17042898;302804659;2023-02-20 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302120945
97001;081.007-23.17042899;080.007-23.17042899;302205170;2023-02-24 00:00:00.000;HT0158;PT. PURI DIBYA PROPERTY;SO202302125650
97005;081.007-23.17042903;080.007-23.17042903;302401219;2023-02-22 00:00:00.000;RS2334;PT SURYAKALA TIMUR KIRANA MARTA;SO202302122986
97007;081.007-23.17042905;080.007-23.17042905;302205172;2023-02-24 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302125653
97009;081.007-23.17042907;080.007-23.17042907;302502504;2023-02-23 00:00:00.000;RS2787;PT MEGAGUNA USAHA MAKMUR;SO202302122435
97010;081.007-23.17042908;080.007-23.17042908;302205173;2023-02-24 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302125656
97014;081.007-23.17042912;080.007-23.17042912;302205175;2023-02-24 00:00:00.000;HT0158;PT. PURI DIBYA PROPERTY;SO202302125658
97015;081.007-23.17042913;080.007-23.17042913;302502505;2023-02-23 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302122497
97017;081.007-23.17042916;080.007-23.17042916;302205176;2023-02-24 00:00:00.000;HT0338;PT JAYA HOTEL LESTARI;SO202302125661
97018;081.007-23.17042917;080.007-23.17042917;302502506;2023-02-23 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302122498
97019;081.007-23.17042918;080.007-23.17042918;302502507;2023-02-23 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302122499
97020;081.007-23.17042919;080.007-23.17042919;302205177;2023-02-24 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302125665
97021;081.007-23.17042920;080.007-23.17042920;302502508;2023-02-23 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302122501
97024;081.007-23.17042923;080.007-23.17042923;302205179;2023-02-24 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302125668
97026;081.007-23.17042925;080.007-23.17042925;302502511;2023-02-23 00:00:00.000;PS1133;CV HARMONY BOGA JAYA;SO202302122601
97027;081.007-23.17042926;080.007-23.17042926;302205180;2023-02-24 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302125670
97030;081.007-23.17042929;080.007-23.17042929;302205183;2023-02-24 00:00:00.000;HT0156;PT. SINAR BAHANA MULYA;SO202302125675
97032;081.007-23.17042931;080.007-23.17042931;302502512;2023-02-23 00:00:00.000;SM0174;PT. FAJAR MITRA INDAH;SO202302122663
97033;081.007-23.17042932;080.007-23.17042932;302502513;2023-02-23 00:00:00.000;RS2215;PT SELECT FOOD & BEVERAGE GLOBAL;SO202302122968
97034;081.007-23.17042933;080.007-23.17042933;302205185;2023-02-24 00:00:00.000;HT0338;PT JAYA HOTEL LESTARI;SO202302125680
97039;081.007-23.17042936;080.007-23.17042936;302502515;2023-02-23 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302123052
97043;081.007-23.17042939;080.007-23.17042939;302502516;2023-02-23 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302123053
97045;081.007-23.17042941;080.007-23.17042941;302502517;2023-02-23 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302123055
97046;081.007-23.17042942;080.007-23.17042942;302502518;2023-02-23 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302123058
97053;081.007-23.17042946;080.007-23.17042946;302205192;2023-02-24 00:00:00.000;HT0037;PT. GRAND INDONESIA;SO202302125733
97056;081.007-23.17042948;080.007-23.17042948;302401220;2023-02-22 00:00:00.000;RS0193;PT. API METRA BOGA;SO202302123009
97058;081.007-23.17042950;080.007-23.17042950;302205193;2023-02-24 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302125773
97059;081.007-23.17042951;080.007-23.17042951;302205194;2023-02-24 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302125777
97060;081.007-23.17042952;080.007-23.17042952;302205195;2023-02-24 00:00:00.000;HT0045;PT. INNOVINDO SUKSES ABADI;SO202302125864
97063;081.007-23.17042955;080.007-23.17042955;302205197;2023-02-24 00:00:00.000;HT0070;PT. PARAMOUNT PROPERTINDO;SO202302125893
97064;081.007-23.17042956;080.007-23.17042956;302502521;2023-02-23 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302123063
97065;081.007-23.17042957;080.007-23.17042957;302205198;2023-02-24 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302125895
97128;081.007-23.17043017;080.007-23.17043017;302205218;2023-02-24 00:00:00.000;HT0328;PT. RASUNA RESIDENCE DEVELOPMENT;SO202302126007
97129;081.007-23.17043018;080.007-23.17043018;302804674;2023-02-17 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302119826
97135;081.007-23.17043024;080.007-23.17043024;302804676;2023-02-17 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302119824
97137;081.007-23.17043026;080.007-23.17043026;302304653;2023-02-21 00:00:00.000;SM0030;PT. LOTTE MART INDONESIA;SO202302122159
97138;081.007-23.17043027;080.007-23.17043027;302804678;2023-02-17 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302119822
97139;081.007-23.17043028;080.007-23.17043028;302205220;2023-02-24 00:00:00.000;HT0174;PT SIMA GRAHA UTAMA;SO202302126021
97140;081.007-23.17043029;080.007-23.17043029;302804679;2023-02-17 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302119805
97141;081.007-23.17043030;080.007-23.17043030;302304654;2023-02-21 00:00:00.000;RS2618;PT. OMA KITA SEMUA;SO202302122164
