sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
RS0225;102.317;PLANET RAMAYANA;PLANET RAMAYANA;Restaurant;81;300000;0;4
RS0274;102.214;PODJOK LAMPU;PODJOK LAMPU;Restaurant;81;1000000;7;4
RS0238;102.217;QUEEN PIZZA SOLO;QUEEN PIZZA SOLO;Restaurant;81;1000000;7;4
RS0247;102.326;RAJA SIOBAK;RAJA SIOBAK;Restaurant;81;1000000;0;4
RS0266;102.227;RAJA STEAK;RAJA STEAK;Restaurant;81;5000000;0;4
RS0271;102.232;REBEL GOFOOD LAWEYAN (PT. REBEL GOFOOD INDONESIA);PT. REBEL GOFOOD INDONESIA;Restaurant;81;5000000;7;4
HT0042;115.049;RS. INDRIATI (PT.DELTA MERLIN);PT. DELTA MERLIN;Hotel;81;10000000;14;4
RS0262;102.027;SAE CHICKEN;SAE CHICKEN;Restaurant;81;5000000;14;4
RS0285;102.259;SALAD AZZANA;SALAD AZZANA;Restaurant;81;3000000;0;4
RS0248;102.263;SAPI MELET;SAPI MELET;Restaurant;81;500000;28;4
RS0291;102.261;SEI AMARASI;SEI AMARASI;Restaurant;81;5000000;14;4
RS0293;102.257;SEKOPEE RESTAURAN;SEKOPEE RESTAURAN;Restaurant;81;1000000;30;4
RS0295;102.002;SELAT & SOP MATAHARI PUSPPA;SELAT & SOP MATAHARI PUSPPA;Restaurant;81;1000000;30;4
DS0022;102.33;SENTRAL PANGAN;SENTRAL PANGAN;Distributor;81;2000000;14;4
PC0064;114.078;SENYAWA KOPI;SENYAWA KOPI;Coffee Shop;81;1000000;0;4
RS0296;102.244;SERAE PIZZA;SERAE PIZZA;Restaurant;81;5000000;0;4
RS0297;115.053;SETIA INDARTI;SETIA INDARTI;Restaurant;81;1000000;7;4
RS0302;102.265;SOCKI;SOCKI;Restaurant;81;5000000;0;4
PC0065;114.074;SOFT KOPI;SOFT KOPI;Coffee Shop;81;1000000;0;4
RS0058;102.236;SOLO DAUN;SOLO DAUN;Restaurant;81;300000;28;4
RS0317;114.004;STUDIO KOPI;STUDIO KOPI;Restaurant;81;2000000;7;4
DS0024;106.023;UD. ALASKA FOOD SERVICE;UD. ALASKA FOOD SERVICE;Distributor;81;20000000;0;4
DS0025;102.004;UD ARGA SARI;UD ARGA SARI;Distributor;81;300000;0;4
DS0026;106.027;UD. SALIM;UD. SALIM;Distributor;81;300000;14;4
RS0338;115.054;UNY EPPY;UNY EPPY;Restaurant;81;5000000;0;4
PC0068;114.084;UP DATE COFFEE;UP DATE COFFEE;Coffee Shop;81;5000000;30;4
RS0340;102.284;VENICE PIZZA;VENICE PIZZA;Restaurant;81;1000000;0;4
RS0341;102.283;VIOLET RESTO;VIOLET RESTO;Restaurant;81;1000000;30;4
DS0027;102.308;YUMMY BEEF;YUMMY BEEF;Distributor;81;1000000;0;4
RS0360;102.3;YU REBI;YU REBI;Restaurant;81;500000;14;4
RS0361;114.087;ZAITUN CAFE;ZAITUN CAFE;Restaurant;81;5000000;0;4
RS0363;102.03;Zeppelin cafe & eatry;Zeppelin cafe & eatry;Restaurant;81;1000000;28;4
PC0069;114.088;ZEPPIN COFFEE;ZEPPIN COFFEE;Coffee Shop;81;5000000;0;4
HT0051;101.055;ZEST HOTEL SOLO (PT. BUMI HARAPAN INDAH);PT. BUMI HARAPAN INDAH;Hotel;81;1000000;0;4
RS0021;102.126;BAKERY JENNI;BAKERY JENNI;Restaurant;81;300000;14;6
RS0023;102.056;BBQIU FUSION GRILL HOUSE;BBQIU FUSION GRILL HOUSE;Restaurant;81;1000000;7;6
PC0006;102.054;BERANDA RUMAH;BERANDA RUMAH;Coffee Shop;81;5000000;7;6
RS0028;102.31;BLONJO KUE;BLONJO KUE;Restaurant;81;300000;7;6
RS0041;102.066;CHILLI PEPPER;CHILLI PEPPER;Restaurant;81;5000000;60;6
DS0008;102.067;DEVORA DIARY;DEVORA DIARY;Distributor;81;5000000;7;6
RS0072;102.105;GRAINS & DOUGHT;GRAINS & DOUGHT;Restaurant;81;5000000;7;6
UM0016;102.152;IBU IWEN (MANDARIN HTL);IBU IWEN (MANDARIN HTL);Umum;81;2000000;30;6
RS0052;102.151;LEGACY;LEGACY;Restaurant;81;1000000;30;6
RS0178;114.06;NATAHATI COFFE (PT. RUANG TEDUH INDONESIA);PT. RUANG TEDUH INDONESIA;Restaurant;81;10000000;7;6
RS0217;102.211;PHI PHI RESTAURANT;PHI PHI RESTAURANT;Restaurant;81;6000000;7;6
RS0048;102.32;CV.DAPURAME (BOGA KITCHEN);CV.DAPURAME;Restaurant;81;1000000;14;7
RS0097;101.022;GARDEN HOUSE;GARDEN HOUSE;Restaurant;81;1000000;14;7
PC0031;114.03;HEIKA KOPI MANGKUNEGARAN;HEIKA KOPI MANGKUNEGARAN;Coffee Shop;81;1000000;14;7
DS0005;106.015;JAKA MEATSHOP;JAKA MEATSHOP;Distributor;81;5000000;14;7
RS0128;102.309;JOY BAKERY;JOY BAKERY;Restaurant;81;1000000;14;7
DS0012;102.167;MADJA (CV. TIGA PILLAR SEJATI);CV. TIGA PILLAR SEJATI;Distributor;81;20000000;30;7
RS0252;114.055;MY KOPI-O SOLO;MY KOPI-O SOLO;Restaurant;81;10000000;14;7
RS0233;101.035;POST IN HOTEL SOLO;POST IN HOTEL SOLO;Restaurant;81;0;30;7
RS0253;102.319;RESWARA;RESWARA;Restaurant;81;1000000;14;7
RS0280;102.023;ROTI BAKIR;ROTI BAKIR;Restaurant;81;1000000;14;7
RS0328;106.021;TAT'S HOUSE;TAT'S HOUSE;Restaurant;81;5000000;14;7
HT0037;101.009;ALLIUM CEPU HOTEL (PT.GO CELL INTERNATIONAL);PT.GO CELL INTERNATIONAL;Hotel;81;10000000;28;9
PC0057;114.006;AWOR COFFEE KLATEN;AWOR COFFEE KLATEN;Coffee Shop;81;1000000;60;9
RS0093;102.103;FITSARIA;FITSARIA;Restaurant;81;5000000;30;9
HT0017;101.071;GRAND MERCURE SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);PT. DELTA MERLIN DUNIA PROPERTI;Hotel;81;100000000;30;9
RS0101;102.115;HUNGRY BEAR;HUNGRY BEAR;Restaurant;81;5000000;30;9
RS0016;102.034;ATRIA RESTO & CAFE;ATRIA RESTO & CAFE;Restaurant;-1;0;30;4
