sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
HT0011;101.019;GRAND ORCHID HOTEL;GRAND ORCHID HOTEL;Hotel;77;300000;30;7
PC0032;114.028;HEIKA KOPI SUKOHARJO;HEIKA KOPI SUKOHARJO;Coffee Shop;77;20000000;14;7
RS0114;101.02;HOTEL GRAND MEGA RESORT;HOTEL GRAND MEGA RESORT;Restaurant;77;300000;14;7
PC0038;114.038;KEDAI KOPI NDOMBLONG;KEDAI KOPI NDOMBLONG;Coffee Shop;77;1000000;14;7
RS0249;114.053;LUX CAFE;LUX CAFE;Restaurant;77;10000000;14;7
RS0061;115.013;MARAKEZ;MARAKEZ;Restaurant;77;5000000;14;7
HT0043;102.229;RUMAH AT SIRI;RUMAH AT SIRI;Hotel;77;100000000;14;7
RS0304;102.239;SOLARIA SOLO PARAGON;SOLARIA SOLO PARAGON;Restaurant;77;25000000;30;7
RS0314;102.248;STEAK TOGETHER SOLO;STEAK TOGETHER SOLO;Restaurant;77;1000000;30;7
RS0053;102.269;THE TRANS RESTAURANT;THE TRANS RESTAURANT;Restaurant;77;2000000;14;7
HT0030;101.006;ALILA HOTEL SOLO (PT. NARENDRA LENTERA ADISAKTI);PT. NARENDRA LENTERA ADISAKTI;Hotel;77;200000000;30;9
HT0034;101.002;AMARELLO HOTEL (PT. GUNTUR MADU TAMA);PT. GUNTUR MADU TAMA;Hotel;77;10000000;28;9
UM0001;115.023;BAPAK HARTONO;BAPAK HARTONO;Umum;77;5000000;30;9
DS0003;114.01;BEANS AND CO;BEANS AND CO;Distributor;77;3000000;30;9
RS0032;102.052;BUANA LOUNGE;BUANA LOUNGE;Restaurant;77;5000000;28;9
RS0116;102.116;HUNGRY BEAR (WIDURAN);HUNGRY BEAR (WIDURAN);Restaurant;77;5000000;30;9
UM0031;106.016;MEATSHOP (CV. JOGJA BOGA UTAMA);CV. JOGJA BOGA UTAMA;Meat Shop;77;900000000;30;9
RS0055;101.032;NAVA HOTEL (PT. NAVA SAMGATA);PT. NAVA SAMGATA;Restaurant;77;5000000;30;9
HT0040;101.043;RAMADA SWITES HOTEL;RAMADA SWITES HOTEL;Hotel;77;10000000;30;9
RS0272;102.222;RELAX RESTO;RELAX RESTO;Restaurant;77;300000;30;9
HT0031;101.053;SOLIA ZIGNA HOTEL (PT.HAILAI SINAR CEMERLANG);PT.HAILAI SINAR CEMERLANG;Hotel;77;5000000;28;9
HT0038;101.045;SOLO INN HOTEL;SOLO INN HOTEL;Hotel;77;500000;28;9
HT0046;101.034;SOLO PARAGON HOTEL RESIDENCE (PT. SUNINDO GAPURA PRIMA);PT. SUNINDO GAPURA PRIMA;Hotel;77;30000000;30;9
HT0048;101.049;SWISS BELL INN SARIPETOJO (PT. SOLO REGENCY HOTEL);PT. SOLO REGENCY HOTEL;Hotel;77;500000000;30;9
RS0004;102.282;TJANGKIR GENDHIS;TJANGKIR GENDHIS;Restaurant;77;1000000;30;9
DS0021;106.022;TOKO ASIA BARU;TOKO ASIA BARU;Distributor;77;1000000;30;9
DS0020;106.03;TOKO ATOM;TOKO ATOM;Distributor;77;1000000;30;9
RS0062;102.076;METRO (CV. METRO);CV. METRO;Restaurant;78;10000000;60;10
RS0366;102.036;ARJE'S KITCHEN;ARJE'S KITCHEN;Restaurant;78;5000000;30;4
UM0003;115.033;BAPAK JOKO SLAMETO;BAPAK JOKO SLAMETO;Umum;78;1000000;0;4
UM0004;115.021;BAPAK RONI;BAPAK RONI;Umum;78;5000000;0;4
HT0006;101.014;BARON INDAH HOTEL;BARON INDAH HOTEL;Hotel;78;5000000;0;4
DS0004;106.012;BEEF BRO MEATSHOP SOLO;BEEF BRO MEATSHOP SOLO;Distributor;78;10000000;0;4
PC0009;114.012;BLACK BIRD COFFE SOLO;BLACK BIRD COFFE SOLO;Coffee Shop;78;1000000;0;4
HT0009;101.012;BROTHERS HOTEL SOLO;BROTHERS HOTEL SOLO;Hotel;78;20000000;0;4
PC0012;102.055;BURGER DAN KOPI LAWE;BURGER DAN KOPI LAWE;Coffee Shop;78;5000000;0;4
PC0016;114.017;CALYA COFFE AND EATERY;CALYA COFFE AND EATERY;Coffee Shop;78;5000000;30;4
UM0008;115.024;CIK MEI MEI;CIK MEI MEI;Umum;78;3000000;0;4
PC0018;114.015;CNY COFFEE & KITCHEN;CNY COFFEE & KITCHEN;Coffee Shop;78;1000000;30;4
PC0021;102.07;COOLFRAME;COOLFRAME;Coffee Shop;78;5000000;0;4
RS0045;102.063;CROWN BILYARD;CROWN BILYARD;Restaurant;78;5000000;30;4
RS0070;102.088;D'CAPELLO RESTO;D'CAPELLO RESTO;Restaurant;78;2000000;0;4
RS0071;102.235;DE PARISHA RESTAURANT;DE PARISHA RESTAURANT;Restaurant;78;500000;0;4
RS0065;102.08;DYNASTI WANG RESTAURANT;DYNASTI WANG RESTAURANT;Restaurant;78;10000000;0;4
RS0083;102.094;EL BURITOS;EL BURITOS;Restaurant;78;5000000;0;4
RS0088;102.092;ES ENY TERBAN;ES ENY TERBAN;Restaurant;78;300000;0;4
RS0095;102.011;FND (FOOD N DRINK);FND (FOOD N DRINK);Restaurant;78;1000000;0;4
HT0015;101.018;FRONT ONE HOTEL SRAGEN (PT. WAW ANGKASA WIJAYA);PT. WAW ANGKASA WIJAYA;Hotel;78;1000000;7;4
DS0009;106.025;GUN FROZEN FOOD;GUN FROZEN FOOD;Distributor;78;2000000;7;4
UM0011;115.018;IBU ANIK;IBU ANIK;Umum;78;10000000;0;4
UM0018;115.001;IBU RIPTINAH;IBU RIPTINAH;Umum;78;300000;0;4
RS0118;102.12;IN CONTRO RESTAURANT (PT. CIPTA REJEKI BERSAMA);PT. CIPTA REJEKI BERSAMA;Restaurant;78;5000000;7;4
RS0130;102.135;KAKKOII RESTO;KAKKOII RESTO;Restaurant;78;5000000;0;4
RS0133;102.133;KAMPUNG CAHAYA RESTAURAN;KAMPUNG CAHAYA RESTAURAN;Restaurant;78;5000000;7;4
PC0039;114.033;KEDAI KOPI SOLO;KEDAI KOPI SOLO;Coffee Shop;78;5000000;0;4
RS0136;102.138;KENEE GRILL & SUKI;KENEE GRILL & SUKI;Restaurant;78;5000000;7;4
UM0027;115.036;KEVIN;KEVIN;Umum;78;1000000;0;4
RS0138;102.129;KIMCHI RESTAURANT;KIMCHI RESTAURANT;Restaurant;78;2000000;0;4
PC0048;114.045;KULONUWUN KOPI;KULONUWUN KOPI;Coffee Shop;78;2000000;0;4
PC0049;114.05;LA JAVA COFFEE;LA JAVA COFFEE;Coffee Shop;78;5000000;0;4
RS0153;114.048;LIBERICA COFFEE (PT. LIBERICA);PT. LIBERICA;Restaurant;78;2000000;7;4
RS0156;102.166;MABAR & LAVINE MANAHAN;MABAR & LAVINE MANAHAN;Restaurant;78;2500000;14;4
DS0013;106.002;MARTHA FOOD;MARTHA FOOD;Distributor;78;2000000;0;4
DS0015;106.003;MAS DENI HS;MAS DENI HS;Distributor;78;5000000;0;4
RS0172;102.305;MOMITA KITCHEN;MOMITA KITCHEN;Restaurant;78;5000000;0;4
PC0011;114.095;MRCL COFFE STUDIO;MRCL COFFE STUDIO;Coffee Shop;78;5000000;0;4
RS0176;102.174;NAKAMA;NAKAMA;Restaurant;78;1000000;30;4
RS0263;102.158;NEW MERAPI RESTO;NEW MERAPI RESTO;Restaurant;78;5000000;0;4
RS0169;102.17;NIHON TEI RESTAURANT;NIHON TEI RESTAURANT;Restaurant;78;1000000;0;4
FC0001;102.336;OBONK STEAK SOLO (FoC);OBONK STEAK SOLO (FoC);FC;78;0;7;4
RS0189;102.315;OLA VITA;OLA VITA;Restaurant;78;1000000;7;4
RS0195;102.181;OMAH SINTEN;OMAH SINTEN;Restaurant;78;5000000;14;4
RS0200;102.177;O-SOLO-MIO;O-SOLO-MIO;Restaurant;78;5000000;14;4
UM0036;115.005;PAK BUDI MAGELANG;PAK BUDI MAGELANG;Umum;78;10000000;0;4
UM0038;115.038;PAK MARVIN;PAK MARVIN;Umum;78;10000000;7;4
RS0207;102.201;PAR3;PAR3;Restaurant;78;1000000;7;4
RS0208;102.197;PAR 3 RESTO GOLF;PAR 3 RESTO GOLF;Restaurant;78;500000;0;4
RS0209;102.215;PAR FOUR CAFE;PAR FOUR CAFE;Restaurant;78;5000000;0;4
RS0211;102.199;PART3 GOLF;PART3 GOLF;Restaurant;78;5000000;7;4
RS0212;114.066;PEACOCK COFFEE;PEACOCK COFFEE;Restaurant;78;5000000;0;4
RS0220;102.203;PIZZA HOUSE;PIZZA HOUSE;Restaurant;78;5000000;0;4
RS0227;114.07;PLATE-O KLATEN;PLATE-O KLATEN;Restaurant;78;1000000;14;4
RS0231;102.213;POLAR BEAR;POLAR BEAR;Restaurant;78;5000000;7;4
HT0029;101.038;PRIMA INN HOTEL;PRIMA INN HOTEL;Hotel;78;500000;0;4
RS0268;102.22;RAMAYANA COFFEE;RAMAYANA COFFEE;Restaurant;78;300000;0;4
