docentry;docnum;pib;nopen;kodebilling;pph22;pib_nilaipabean;pib_ndpbm;pib_cif2;pib_ntpn;apinvoice
20755 ;2030000341 ;04030S01360520220513000767;272159;620220500185774;0;227818.04;14566;3318397571;;28101
21183 ;2050000149 ;00002001360520220603000112;902805;620220600027443;18740000;72004.28;10410.35;749589756.298;;28108
21110 ;2040000241 ;04030S01360520220530000807;287742;620220500258417;7988000;21760;14682;319480320;;28137
21237 ;2060000019 ;00002001360520220613000116;902986;620220600123626;6239000;23850.23;10462.55;249534223.886;;28138
21145 ;2040000248 ;04030S01360520220607000818;294833;620220600069581;116919000;319536.14;14636;4676730945;;28139
20963 ;2030000377 ;04030S01360520220603000815;293920;620220600045913;59697000;163148.78;14636;2387845544;;28140
20975 ;220200386 ;04030S01360520220524000797;281690;620220500253439;30178000;78300.93;14682;1149614254;;28141
21180 ;2040000250 ;00002001360520220607000113;902873;620220600063966;16730000;43543.81;14636;637307203.16;;28142
20883 ;220200372 ;04030S01360520220517000771;284029;620220600018027;70858000;184431.97;14636;2699346313;;28143
21027 ;2030000387 ;04030S01360520220527000805;281050;620220500235610;76015000;197234.73;14682;2895800306;;28144
20754 ;2030000340 ;04030S01360520220602000813;282522;620220600009137;68317000;177816.32;14636;2602519660;;28145
21104 ;2030000395 ;04030S01360520220531000808;282258;620220500256847;16788000;45735.9;14682;671494484;;28146
21193 ;2050000156 ;00002001360520220613000117;902987;620220600123482;11712000;32254.42;14524;468463196.08;;28147
21115 ;2040000244 ;04030S01360520220602000814;284185;620220600016624;56342000;153979.76;14636;2253647767;;28148
21052 ;2030000389 ;00000000012920220525100076;286882;620220600030612;13484000;32760;15679.62;513664351.2;;28149
20762 ;220200348 ;00000000012920220517100068;289313;620220600042799;10650000;27720;14636;405709920;;28150
20809 ;220100246 ;00000000012920220531100077;286886;620220600031220;8981000;23376;14636;342131136;;28151
21075 ;220200390 ;00000000012920220603100078;286873;620220600031771;41017000;42773.75;15679.62;670676145.98;;28152
20284 ;220200262 ;00000000012920220603100078;286873;620220600031771;41017000;42773.75;15679.62;670676145.98;;28153
20954 ;220200380 ;04030S01360520220524000794;288487;620220600023018;64923000;169792.95;14636;2485089616;;28154
21192 ;2050000155 ;00002001360520220608000114;902884;620220600078037;14166000;38715.23;14636;566636106.28;;28156
21014 ;2040000221 ;04030S01360520220524000796;293980;620220600044729;23133000;61678.97;14636;902733405;;28175
20971 ;220200384 ;04030S01360520220520000787;270096;620220500187759;0;265089.37;14566;3861291763;;28176
21026 ;2040000224 ;04030S01360520220524000798;302171;620220600087829;7194000;19812.65;14524;287758929;;28177
21154 ;2040000249 ;04030S01360520220608000819;297896;620220600075859;78988000;212231.71;14524;3082453356;;28178
20964 ;220200382 ;04030S01360520220525000799;298543;620220600063689;21962000;57162.27;14636;836626984;;28179
20973 ;2030000379 ;04030S01360520220525000800;302159;620220600088364;29853000;78300.93;14524;1137242707;;28180
21278 ;2060000045 ;00002001360520220614000118;903009;620220600138693;19476000;51083.65;14524;741938932.6;;28189
21238 ;2050000181 ;00002001360520220609000115;902905;620220600091630;13323000;36691.18;14524;532902698.32;;28190
21132 ;2050000110 ;04030S01360520220610000826;305675;620220600107843;48116000;183953.19;10462.55;1924619448;;28199
21289 ;2060000052 ;00002001360520220616000119;903053;620220600160949;58654000;226054.84;10378.61;2346135022.972;;28200
20307 ;220200266 ;00000000012920220419100051;309957;620220600132469;60321000;46146;14524;670224504;;28201
21051 ;2030000388 ;00000000012920220606100084;300658;620220600091153;39406000;28107.52;15577.35;437840676.67;;28223
21152 ;2050000127 ;00000000012920220608100085;309991;620220600138564;34311000;43725.14;10462.55;457476463.51;;28224
21296 ;2060000058 ;00002001360520220617000120;903072;620220600170995;6277000;24189.01;10378.61;251048301.076;;28227
20924 ;2030000368 ;04030S01360520220517000775;307534;620220600089839;27794000;72899.93;14524;1058798583;;28228
20983 ;2030000381 ;04030S01360520220520000786;307533;620220600089664;29853000;78300.93;14524;1137242707;;28229
20744 ;2030000338 ;04030S01360520220609000822;305410;620220600115869;103480000;271418.77;14524;3942086215;;28230
20930 ;2030000370 ;04030S01360520220520000785;307627;620220600093064;29382000;77064.65;14524;1119286977;;28279
20926 ;220200375 ;04030S01360520220517000770;307626;620220600090141;29853000;78300.93;14524;1137242707;;28280
21223 ;2050000180 ;04030S01360520220613000828;313056;620220600122787;21587000;59059.76;14524;857783954;;28281
21222 ;2050000179 ;04030S01360520220613000829;311168;620220600123386;65379000;180056.1;14524;2615134796;;28282
21253 ;2050000187 ;04030S01360520220613000830;311166;620220600122019;79906000;220064.06;14524;3196210407;;28283
21089 ;2040000235 ;04030S01360520220608000820;303190;620220600101470;20236000;54369.92;14524;789668718;;28284
21114 ;2040000243 ;04030S01360520220608000821;303189;620220600100416;19307000;52520.93;14524;762813987;;28285
21143 ;2040000247 ;04030S01360520220607000816;302172;620220600087830;47316000;127131.89;14524;1846463570;;28286
21066 ;2040000230 ;04030S01360520220531000812;311537;620220600135918;50343000;132043.24;14524;1917796018;;28287
20961 ;220200381 ;04030S01360520220520000784;288488;620220600023469;102582000;267003.47;14636;3907862787;;28288
21163 ;2030000399 ;00000000012920220620100089;320263;620220600187529;13285000;32760;15448.54;506094170.4;;28310
20915 ;2040000191 ;00000000012920220615100087;318592;620220600174146;20260000;49958.6;15448.54;771787430.44;;28311
20942 ;220200377 ;00000000012920220621200198;323824;620220600213735;28215000;72899.93;14744;1074836567.92;;28316
21242 ;2050000184 ;04030S01360520220616000838;318590;620220600164344;7859000;21670;14506;314345020;;28317
21185 ;2050000151 ;04030S01360520220614000831;322689;620220600172509;161901000;207992.02;10378.61;2158668059;;28318
21184 ;2050000150 ;04030S01360520220614000832;322688;620220600172345;161900000;207991.78;10378.61;2158665568;;28319
21360 ;2060000106 ;00002001360520220623000122;903193;620220600223790;11928000;32358.41;14744;477092397.04;;28320
21388 ;2060000130 ;00002001360520220623000123;903194;620220600223944;12882000;34945.86;14744;515241759.84;;28321
21346 ;2060000093 ;00002001360520220624000125;903220;620220600230794;11301000;30657.13;14744;452008724.72;;28381
21361 ;2060000107 ;00002001360520220624000124;903219;620220600230348;6163000;24040.07;10254.19;246511445.393;;28382
20927 ;220200376 ;04030S01360520220517000772;307624;620220600089838;35997000;94415.83;14524;1371295515;;28383
21353 ;2060000100 ;00002001360520220622000121;903167;620220600211513;20757000;54510.41;14506;790728007.46;;28384
21227 ;2040000251 ;00000000012920220616100088;334346;620220600257361;26871000;24300;14744;358279200;;28405
21065 ;2040000229 ;00000000012920220620100090;333308;620220600252954;10339000;26712;14744;393841728;;28406
21093 ;2040000239 ;00000000012920220622100094;333316;620220600254551;9656000;24948;14744;367833312;;28407
21101 ;2030000392 ;00000000012920220603100081;333303;620220600252273;11412000;29484;14744;434712096;;28408
21100 ;2030000391 ;00000000012920220603100080;333314;620220600253620;11412000;29484;14744;434712096;;28409
21414 ;2060000153 ;00002001360520220628000126;903297;620220600269904;21021000;54313.44;14744;800797359.36;;28410
21329 ;2040000256 ;04030S01360520220615000836;318612;620220600164343;12317000;30645.71;14830.48;454490589;;28411
20912 ;2030000366 ;00000000012920220615100086;323609;620220600212241;22848000;56421.4;15426.4;870379084.96;;28412
20845 ;220200364 ;04030S01360520220517000774;307535;620220600093066;36014000;94460.56;14524;1371945173;;28436
21335 ;2040000260 ;00000000012920220624200202;333309;620220600257326;79320000;215191.57;14744;3172784508.08;;28447
20846 ;2030000356 ;00000000012920220623200200;333307;620220600257225;67094000;173353.76;14744;2555927837.44;;28451
21105 ;2030000396 ;00000000012920220603100083;333304;620220600252275;11248000;29059.88;14744;428458870.72;;28453
21102 ;2030000393 ;00000000012920220603100079;333306;620220600252325;11412000;29484;14744;434712096;;28454
21103 ;2030000394 ;00000000012920220603100082;333305;620220600252279;11315000;29235.38;14744;431046442.72;;28455
21273 ;2050000191 ;00000000012920220623100097;339147;620220600273963;8717000;23500;14837;348669500;;28487
21092 ;2040000238 ;00000000012920220621100093;333312;620220600253421;9656000;24948;14744;367833312;;28488
21090 ;2040000236 ;00000000012920220621100092;333315;620220600253756;10339000;26712;14744;393841728;;28489
21272 ;2050000190 ;00000000012920220622100096;339150;620220600274750;8161000;22000;14837;326414000;A6B700HK2PE8VJPU;28497
21274 ;2050000192 ;00000000012920220623100098;339148;620220600273972;9923000;26750;14837;396889750;;28498
20713 ;220100243 ;00000000012920220621200199;333311;620220600257403;36671000;94749.54;14744;1396987217.76;;28499
21176 ;2050000143 ;00000000012920220624100099;336825;620220600266238;19947000;49256.4;15426.4;759848928.96;;28500
21300 ;2050000200 ;00000000012920220627200203;340170;620220600280613;32100000;86309.07;14837;1280567671.59;;28501
21332 ;2050000207 ;00000000012920220628100102;342498;620220600295878;30450000;82090.8;14837;1217981199.6;BF9BA7L01E1C88E6;28502
21140 ;2030000398 ;00000000012920220628200206;344977;620220700009590;19809000;51171.2;14837;759227094.4;01C050HK2PH8393M;28503
21462 ;2060000195 ;00002001360520220705000130;903446;620220700043364;11730000;31621.94;14837;469174723.78;3197343A23QPOA34;28507
21467 ;2050000222 ;00000000012920220628200204;344978;620220700010197;103862000;273177.15;14837;4053129374.55;606CF6OIHJHUU9ML;28550
21408 ;2060000149 ;00002001360520220628000127;903298;620220600269875;34565000;134832.41;10254.19;1382597150.298;;28551
21091 ;2040000237 ;00000000012920220621100092;333310;620220600253756;10339000;23803.2;14744;350954380.8;;28562
21441 ;2060000179 ;00002001360520220630000128;903342;620220600296103;18956000;73657.47;10293.65;758204216.066;;28563
21472 ;2060000201 ;00002001360520220705000131;903447;620220700043828;12555000;48784.81;10293.65;502173759.456;2E7EF7L01E4BCAHK;28564
21452 ;2060000188 ;00002001360520220704000129;903433;620220700031917;19739000;50679.21;14837;751927438.77;145736OIHJHUUUTD;28569
21264 ;2050000188 ;00000000012920220628100100;340168;620220600280504;9181000;24750;14837;367215750;72C5F43A23NQJPDO;28570
20839 ;220200359 ;00000000012920220622100095;347335;620220700023351;51626000;38660.93;14837;573612218.41;5957E1E1IK3KGMHN;28578
21304 ;2050000201 ;00000000012920220629100104;347611;620220700028027;8532000;23000;14837;341251000;510056OIHJHUUR3R;28579
21230 ;2040000254 ;00000000012920220701200209;352698;620220700051085;53789000;138106.5;14837;2049086140.5;14D294VNHUD65HKD;28580
21364 ;2050000209 ;00000000012920220630200207;349997;620220700036295;21628000;58308;14837;865115796;F98204VNHUD65367;28581
21153 ;2050000128 ;00000000012920220706100109;355658;620220700063640;11852000;31891.2;14865;474062688;4A70B0HK2PH84TSO;28582
21128 ;2030000397 ;00000000012920220628200205;352697;620220700048614;10534000;27046.73;14837;401292333.01;999E143A23QPOF76;28583
21485 ;2050000223 ;00002001360520220705000132;903448;620220700043617;7892000;30666.51;10293.65;315670320.662;E65886OIHJHUVAB1;28586
21113 ;2040000242 ;00000000012920220629100103;352590;620220700045624;9387000;24100.8;14837;357583569.6;2BCA243A23QPOC9O;28618
20951 ;2030000374 ;00000000012920220629100105;352591;620220700045828;38427000;98662.8;14837;1463859963.6;B51547L01E4BCCG4;28619
21282 ;2050000195 ;04030S01360520220705000864;355657;620220700048859;160575000;207991.78;10293.65;2140994586;03CAA8HDH8MNPFER;28620
21244 ;2050000185 ;04030S01360520220705000862;357304;620220700055372;55116000;148309.24;14865;2204616853;864C82AF2EM0ULQC;28621
21265 ;2050000189 ;04030S01360520220705000863;357399;620220700056739;18865000;48344.03;14865;718634006;8F03F8HDH8MNPN53;28622
