ITEM CODE;NAMA ITEM;BIAYA LAYANAN 2023;ServiceFee
BID2IGU116;EL PRIMO Sosis Ayam Frankfurter / Chicken Frankfurter - Indoguna;0.0310;3.1
BID2IGU157;EL PRIMO Sosis Ayam / Chicken Picnic - Indoguna;0.0310;3.1
AID2OLS102;AUS Intercostal Cut Sate 500 Gr - Indoguna;0.0310;3.1
AID2OLS108;AUS Beef Liver / Hati Sapi 1 Kg - Indoguna;0.0310;3.1
AID2OLS105;AUS Shortloin A T Bone 500 Gr - Indoguna;0.0310;3.1
AID2OLS103;AUS Shortloin A Porterhouse 500 Gr - Indoguna;0.0310;3.1
AID2OLS095;AUS Striploin A Grass Fed Cut Yakiniku 250 Gr - Indoguna;0.0310;3.1
AID2OLS099;AUS Wagyu T bone MB 6 - Cut 750 Gr - Indoguna;0.0310;3.1
AID2OLS107;NZ Striploin PS Grass Fed Cut Steak 200 Gr - Indoguna;0.0310;3.1
AID2OLS100;NZ Striploin PR Grass Fed Cut Steak 200 Gr - Indoguna;0.0310;3.1
AID2OLS101;NZ Ribeye Grass Fed Cut Steak 200 Gr - Indoguna;0.0310;3.1
BID2IGU067;EL PRIMO Bakso Sapi Urat Premium 750 Gr - Indoguna;0.0310;3.1
BID2IGU122;EL PRIMO Sosis Sapi Frankfurter / Beef Frankfurter - Indoguna;0.0310;3.1
BID2IGU158;EL PRIMO Sosis Sapi / Beef Picnic - Indoguna;0.0310;3.1
BID2IGU124;EL PRIMO Sosis Sapi Bratwurst / Beef Bratwurst - Indoguna;0.0310;3.1
BID2IGU035;EL PRIMO Sosis Sapi Wagyu / Wagyu Sausage - Indoguna;0.0310;3.1
IUS2NAT009;Natalie's Tangerine Juice Fresh Frozen 250 Ml - Indoguna;0.0250;2.5
IUS2NAT008;Natalie's Orange Juice Fresh Frozen 250 Ml - Indoguna;0.0250;2.5
IUS2NAT005;Natalie's Orange Beet Juice Fresh Frozen;0.0250;2.5
HID4MLF001;MILK LIFE Fresh Milk / Susu Segar MILK LIFE ( Promo ) - Indoguna;0.0310;3.1
AID2OLS096;AUS MULWARRA Black Angus Striploin Hormone & Antibiotic Free-Cut 200Gr;0.0310;3.1
AID2OLS098;AUS Wagyu Porterhouse MB 6 - Cut 750 Gr - Indoguna;0.0310;3.1
AID2OLS094;AUS Shortplate Beef Slice / Daging Sapi Slice 250 GR - INDOGUNA;0.0310;3.1
AID2OLS066;AUS Striploin A Sliced Beef - Daging Sapi Sliced Striploin A / 250 GR;0.0310;3.1
AID2OLS092;NZ PS Striploin MB 4+ Premium Wet Aged 55 Days - Indoguna;0.0310;3.1
AID2OLS093;AUS Rump Cap Picanha Steak - Indoguna;0.0310;3.1
AID2OLS084;Daging Kerbau Knuckle 1 KG - Indoguna;0.0310;3.1
AID2OLS082;Daging Kerbau Tipe 2 - 1 KG - Indoguna;0.0310;3.1
AID2OLS089;Daging sapi untuk Sop / Soup 1 KG - Indoguna;0.0310;3.1
AID2OLS090;Daging Sapi Gandik Eye Round 1 KG - Indoguna;0.0310;3.1
EID1MIU003;Kimchi Halal 600 Gr;0.0250;2.5
HSG1EMM017;EMMI Swiss Premium UHT Milk 1Liter;0.0310;3.1
AID2OLS081;Daging Sapi Outside Potongan Teriyaki 500 GR - Indoguna;0.0310;3.1
AID2OLS080;Daging Sapi Outside Potongan Sukiyaki 500 GR - Indoguna;0.0310;3.1
AID2OLS079;Daging Sapi Outside Potongan Rendang 1 KG - Indoguna;0.0310;3.1
AID2OLS088;Daging sapi Chuck - Sampil 1 KG - Indoguna;0.0310;3.1
AID2OLS087;Daging Sapi Knuckle 1 KG - Indoguna;0.0310;3.1
AID2OLS086;Daging Sapi Outside 1 KG - Indoguna;0.0310;3.1
AID2OLS078;AUS SHORTPLATE CAP SLICE / DAGING SAPI SLICE 250Gr - INDOGUNA;0.0310;3.1
AID2OLS077;US CHUCK EYE ROLL SLICE - DAGING SAPI SLICE 250 Gr - INDOGUNA;0.0310;3.1
AID2OLS076;US RIB EYE SLICE - DAGING SLICE RIB EYE 250Gr - INDOGUNA;0.0310;3.1
AID2OLS075;Shortplate End - Daging Slice 250Gr - Indoguna;0.0310;3.1
BID2IGU138;Sosis Sapi Spiral Indoguna / Beef Spiral Sausage Indoguna;0.0310;3.1
BID2IGU062;Sosis Ayam Spiral Indoguna / Chicken Spiral Sausage Indoguna;0.0310;3.1
BID2IGU134;Sosis Sapi Frankfurter Diet Keto Indoguna;0.0310;3.1
BID2IGU137;Sosis Sapi Diet Keto Indoguna;0.0310;3.1
EFR3ABY005;Abbaye French Butter Cookies Milk Chocolate 135 GR - Indoguna;0.0380;3.8
EFR3ABY006;Abbaye Chocoladises Milk Chocolate Biskuit 135 GR - INDOGUNA;0.0380;3.8
EFR3ABY007;Abbaye Chocoladises Dark Chocolate Biskuit 135 GR - INDOGUNA;0.0380;3.8
FID3PRO012;Pro Steak Yakiniku Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO011;Pro Steak Teriyaki Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO010;Pro Steak Shitake Mushroom Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO008;Pro Steak Ponzu Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO009;Pro Steak 'Steak' Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO005;Pro Steak Japanese Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO004;Pro Steak Gravy Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO003;Pro Steak Brown Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO014;Pro Steak Galbi / Kalbi Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO013;Pro Steak Bulgogi Sauce 250ml - Indoguna;0.0310;3.1
FID3PRO002;Pro Steak Black Pepper Sauce 250 ml - Indoguna;0.0310;3.1
FID3PRO001;Pro Steak Barbecue Sauce 250 ml - Indoguna;0.0310;3.1
FID3PRO006;Pro Steak Marinated Steak Sauce 250 ml - Indoguna;0.0310;3.1
AID2OLS073;Wagyu Beef Karubi Plate MB 9 Daging Slice - INDOGUNA;0.0310;3.1
AID2OLS072;Wagyu Beef Chuck Roll MB 9 Daging slice - INDOGUNA;0.0310;3.1
AID2OLS074;US PRIME HANGING TENDER 'SLICE' 250GR - DAGING SLICE - INDOGUNA;0.0310;3.1
AID2OLS154;Daging Kerbau Allana Murah Halal Tanpa Tulang - Indoguna;0.0310;3.1
MAT3DBO034;Diabetic Darbo Blueberry Reform - Selai Rendah Gula - Indoguna;0.0310;3.1
MAT3DBO035;Diabetic Darbo Orange Marmalade Reform - Selai Rendah Gula - Indoguna;0.0310;3.1
MAT3DBO033;Diabetic Darbo Strawberry Reform - Selai Rendah Gula - Indoguna;0.0310;3.1
MAT3DBO032;Diabetic Darbo Raspberry Reform - Selai Rendah Gula - Indoguna;0.0310;3.1
MAT3DBO031;Diabetic Darbo Apricot Reform - Selai Aprikot Rendah Gula - Indoguna;0.0310;3.1
MAT3DBO006;Darbo Forest Honey - Madu Hutan 500 gram;0.0310;3.1
EAT3DBO004;Darbo Sunflower Creamy Honey - Madu Bunga Matahari 500 gram;0.0380;3.8
MAT3DBO007;Darbo Flower Honey - Madu Bunga 500 gram;0.0380;3.8
EAT3DBO003;Darbo Acacia Honey - Madu Akasia Darbo 500 gram;0.0380;3.8
FIT3SAL001;Extra Virgin Olive Oil Salvadori 1 liter dari Italia - Indoguna;0.0310;3.1
AID2OLS068;Australia Blade Cut Yakiniku - Daging Slice Yakiniku Blade Australia;0.0310;3.1
AID2OLS065;US Beef Galbi-Kalbi MB 4 / Daging Sapi Galbi-Kalbi MB 4 - 250GR;0.0310;3.1
AID2OLS040;AUS Tomahawk S GF Angus / Daging Sapi Tomahawk S GF Angus;0.0310;3.1
AID2OLS063;"AUS - Wagyu Striploin MB 7 ""Slice Shabu"" - Daging Sapi Wagyu MB 7";0.0310;3.1
AID2OLS060;"NZ - Tongue ""Slice Yakiniku"" / Lidah Sapi "" Potongan Yakiniku""";0.0310;3.1
AID2OLS062;AUS - Tenderloin A / Daging Steak Tenderloin A;0.0310;3.1
AID2OLS057;US Ribeye Lip On Prime - Daging Steak Sapi Ribeye Lip On Prime;0.0310;3.1
AID2OLS041;;0.0310;3.1
AID2OLS055;AUS - Wagyu Striploin MB 7 / Daging Steak Wagyu Sirloin MB 7;0.0310;3.1
AID2OLS046;AUS - Shank 1 KG / Daging Sapi Sengkel 1 KG;0.0310;3.1
AID2OLS056;AUS - TENDERLOIN HORMON FREE / DAGING SAPI BEBAS HORMON STEAK 200GR;0.0310;3.1
AID2OLS053;USA - TENDERLOIN PRIME / DAGING SAPI TENDERLOIN CUT STEAK 200G;0.0310;3.1
AID2OLS052;AUS RIB EYE HORMON FREE / DAGING SAPI STEAK BEBAS HORMON 200GR;0.0310;3.1
GID2TAL001;NZ FRIES SHOESTRING 1KG;0.0310;3.1
GNZ2TAL001;NZ FRIES STRAIGHT CUT 2,5 KG;0.0310;3.1
AID2OLS058;US Striploin Prime 'Slice Shabu' -+ 250GR;0.0310;3.1
AID2OLS036;US BEEF CHUCK GALBI-KALBI MB 4 / DAGING SAPI KALBI MB 4;0.0310;3.1
AID2OLS051;US Prime Ribeye Roll - Daging Steak US Ribeye Prime;0.0310;3.1
AID2OLS048;;0.0310;3.1
AID2OLS003;Beef Shredded / Trimmingan Daging Sapi;0.0310;3.1
AID2OLS050;Aus Beef Tail Center Cut / Buntut Sapi Potongan Tengah;0.0310;3.1
EID1MIU001;KIMCHI HALAL 1,2 KG;0.0380;3.8
AID2OLS070;"US Prime Chuck Short Rib Boneless ""Slice Shabu""";0.0310;3.1
AID2OLS035;;0.0310;3.1
AID2OLS034;Daging Sapi - AUS Beef Slice Shabu -+500 GR;0.0310;3.1
AID2OLS045;AUS Striploin A Sliced Beef - Daging Sapi Sliced Striploin A / 500 GR;0.0310;3.1
OL0022;Big Shopping Bag / Tas Belanja Kain Ukuran Besar - Edisi Kemerdekaan;0.0450;4.5
AID2OLS043;US Beef Galbi-Kalbi MB 2 / Daging Sapi Galbi-Kalbi MB 2 -+500 GR;0.0310;3.1
AID2OLS042;US Beef Clod Prime MB4 - Shabu Sliced / 500 GR;0.0310;3.1
EID3KEW002;Kewpie Base Type Mayonnaise 1 KG;0.0310;3.1
FKR3JSG005;Topokki Sauce Sweet & Spicy / Saus Topokki Manis Pedas 235 GR;0.0310;3.1
EID3KEW010;Kewpie Cheese Mayo - Cooking Sauce 1 KG;0.0310;3.1
EID3KEW004;Kewpie Baking Mayonnaise 1 KG;0.0310;3.1
AID2OLS033;US Striploin Prime Angus CAB / Daging Steak Angus Prime CAB 200GR;0.0310;3.1
GID2OLS004;Kentang Goreng Skin On Premium Butter coated -Transfat Free;0.0310;3.1
AID2OLS059;US Beef Galbi-Kalbi MB 4 / Daging Sapi Galbi-Kalbi MB 4 -+500 GR;0.0310;3.1
AID2OLS032;Wagyu Striploin MB 7 / Daging Steak Wagyu Sirloin 200 GR;0.0310;3.1
AID2OLS028;AUS - Wagyu Ribeye MB 7 / Daging sapi AUS Wagyu Ribeye MB 7;0.0310;3.1
FKR3JSG010;Jinsung Korean Kalbi BBQ Sauce 500 Gram;0.0310;3.1
FES3LAR018;Extra Virgin Olive Oil - Special Coupage La Rambla 500 ml;0.0310;3.1
GID2OLS003;Potato Steak Fries / Kentang Goreng Potongan Tebal 1 KG;0.0310;3.1
BID2IGU121;Elprimo Sosis Sapi Daging Keju / Elprimo Beef Cheese Sausage 500 GR;0.0310;3.1
EIT3DEC022;Spaghetti - De Cecco Pasta 500 GR;0.0310;3.1
EIT3DEC030;Fettucine - De Cecco Pasta 250 GR;0.0310;3.1
EIT3DEC020;Penne Rigate - De Cecco Pasta - 500 GR;0.0310;3.1
EKR3YOP002;YOPOKKI HALAL ORIGINAL (Topokki / Tteokbokki) 140 GR;0.0380;3.8
EKR3YOP003;YOPOKKI HALAL ORIGINAL (Topokki / Tteokbokki) 280 GR;0.0380;3.8
EKR3YOP004;YOPOKKI HALAL JJAJANG - MANIS (Topokki / Tteokbokki) 140 GR;0.0380;3.8
