sapBPCode;Outlet;Outlet Address
RS0317;STUDIO KOPI;"KOMPLEK RUKO BABARSARI NO 5 BBC PLAZA ( SEKOMPLEK DENGAN CIRCLE K, KOMPLEK RUKO SEBERANG HYPERBOX KARAOKE) YOGYAKARTA"
RS0318;SUASIKO COFFE;JALAN RAJAWALI NO 12 BARENG KLATEN
RS0319;SUGAR KARAOKE;Jl. Palagan Tentara Pelajar No. 106, Kel. Sari Harjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta
UM0048;SUGIARTO GUNAWAN;JL. MANGGA DC-4 SOLO BARU, LANGENHARJO RT.00 RW.00, LANGENHARJO, GROGOL, SUKOHARJO, JAWA TENGAH 00000
RS0320;SUGOI TEI;"JLN. NOLOGATEN 234 A PASAR GOWOK KE UTARA DEKAT PEMANCINGAN IKAN"
DS0023;SUMBER JADI JAYA;Jl. Veteran No.189, Danukusuman, Serengan, Kota Surakarta,
RS0321;SUMMER STREET MOCKTAIL;Jl. MT Haryono No.101 Manahan Banjarsari Surakarta
RS0322;SUN CITY Restaurant;"SOLO SQUARE LT 2 JL. SLAMET RIYADI PAJANG LAWEYAN SOLO"
CT0006;SUNNY CATERING;Ngemplak mbothi Rt 03 Rw 04 Kartasura Sukoharjo
DS0014;SUNRISE MEATSHOP & SUPLIYER;"JLN. MELATI NO. 5A SOLO (BELAKANG RS. KASIH IBU)"
RS0323;SUPER CHICKEN SGM;Food Court Lt. 2 Solo Grand MallJL. Slamet Riyadi Street No.273, Penumping, Laweyan, Surakarta
SM0001;SUPERINDO GUMPANG SUKOHARJO (PT. LION SUPER INDO);GEDUNG PERKANTORAN BIDAKARA 2 LT. 19 - 22 JLN. JENDRAL GATOT SUBROTO KAV. 71 - 73 MENTENG DALAM - TEBETJAKARTA SELATAN - DKI JAKARTA 12870
UM0049;SURYO;HARTONO MALL SOLOBARU
RS0325;SUSHI WAOW MOJOSONGO;JALAN TANGKUBAN PERAHU NO 88 MOJOSONGO SURAKARTA (SUSI WAOW)
RS0324;SUWASANA COFFE;JL.AHMAD YANI NO 239 MANAHAN BANJARSARI SOLO
RS0326;SWISS BAKERY SEMARANG;"Jl. Perintis Kemerdekaan, Karanganyar No. 14 (Belakang Pabrik Ban Mega Rabber) SEMARANG"
HT0047;SWISS-BELL HOTEL SOLO (PT. DELTA MERLIN DUNIA PROPERTI);JL.A YANI NO 145.RT 002/RW.006 GILINGAN KEC.BANJARSARI KOTA SURAKARTA
HT0048;SWISS BELL INN SARIPETOJO (PT. SOLO REGENCY HOTEL);Jl. Slamet Riyadi No.437, Sondakan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147
HT0035;SYARIAH LOR IN HOTEL;Jl. Adi Sucipto No.47 Blulukan Colomadu
RS0370;TAKIGAWA HARTONO MALL;"HARTONO MALL SOLO JLN. SOLO BARU LT.2 ATAS KFC"
RS0327;TAMRIN COFFE;JL. MOH.Husni Kota no. 10 kerten, kec, laweyan ,Kota Surakarta , Jawa Tengah
RS0328;TAT'S HOUSE;JL.SLAMET RIYADI JOHOSARI GAYAM KEC SUKOHARJO
