sapBPCode;Outlet;Outlet Address
RS0168;MISS PHILO;Jl. Hos. Cokroaminoto No.3, Kabupaten, Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57413, Indonesia
RS0170;MIX GREEN;Jl. Kolonel Sutarto No.12, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah
PC0022;MODUS CAFE;JL,RAYA DUWET NO 1
RS0171;MOJU MOJU;Jl. Duwet 12 Karangasem, Laweyan, Surakarta
RS0172;MOMITA KITCHEN;SOLO
RS0368;MOM MILK;"JL. MAWAR NO. 6 MANGKUBUMEN KULON SOLO"
RS0173;MOM PIZZA;Jl. Sekar Jagad No.15, Dusun I, Makamhaji, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57161
HT0026;MOVE MEGALAND HOTEL (PT. PAPAN REJEKI LESTARI);MOVE MEGALAND HotelJLN. SLAMET RIYADI NO 351(DEPAN RS KASIH IBU)
UM0032;MR. BRUCE;Jn. Nusa Indah N0. 55Randuredjo Solo
PC0011;MRCL COFFE STUDIO;Jl. Brigjend Katamso 173, Mojosongo - Surakarta ( GRHA TA Media Group )
UM0033;MR. GEORGE;JL.DANU KUSUMAN RT 2/ RW 1GG.UTARA - PASAR GEMBLEKAN SOLO
RS0174;MUMU;SAMPING GRAND MALL
RS0252;MY KOPI-O SOLO;The Park Mall, Jalan Ir. Soekarno, The Park Lantai GSolo
RS0034;MYSTIC (CV. MULTI ADIGUNA);Hartono Trade Center LT-P1Jl. Ir. Soekarno Solo Baru RT.004 RW 002 Madegondo,Grogol,SukoharjoSamping NAGOYA LT 1
RS0176;NAKAMA;Jl. R.M Said No.134
RS0175;NAMU COFFEE & EATERY SOLO;Jl. Kantil Kaliwingko No.19, Dusun I, Grogol, Kec. Grogol, Kabupaten Sukoharjo
RS0177;NANCY;"Jl. Ir. Juanda No. 138 Sorogenen - Solo"
RS0178;NATAHATI COFFE (PT. RUANG TEDUH INDONESIA);JL.PUNGGAWAN NO 6 PUNGGAWAN KE.BANJARSARI SOLO
RS0055;NAVA HOTEL (PT. NAVA SAMGATA);Jl. Grojogan sewu, Pintu II, Ngunut Lor RT. 4 / RW. 6, Tawangmangu
RS0179;NAV KARAOKE SOLO 2 (PT. NAV JAYA MANDIRI);JL. URIP SUMOHARJO RUKO MESEN SQUARE BLOK A NO.5 - 6 SURAKARTA
RS0180;NAYARA BEEF AND FROZEN FOOD;Jl. Gotong Royong No. 3 Jagalan Surakarta
RS0181;NDORO DONGKER;Jl. Karangpandan-Ngargoyoso, Kemuning, Puntukrejo, Ngargoyoso,
RS0263;NEW MERAPI RESTO;MERAPI RESTOJL. MERAPI GAYAM 0272325887
PC0058;NGOPI SERIUS;JL.MAWAR 3 NO 11A SIDOREJO JANTEN KARANGANYAR
RS0251;NIAGARA SUSHI HARTONO MALL;"HARTONO MALL SOLO BARU LOBY DEPAN"
RS0182;NIAGARA SUSHI PARAGON;Solo Paragon, 02 Food Walk, Jl. Yosodipuro, Mangkubumen, Banjarsari, Kota Surakarta, Jawa Tengah
RS0183;NICE SPICE;JALAN KARTIKA NO.2, JEBRES, SURAKARTA, JAWA TENGAH
RS0169;NIHON TEI RESTAURANT;PANDAWA WATERBOOM SOLOBARUJLN. CEMARA RAYASOLOBARU
CT0004;NIKMAT RASA CATERING;JL. Dieng No.7, Talang Baru, CemaniSukoharjo
RS0184;NOTABENE BISTRO;"Jl. Sri Gading 2 no. 16 Mangkubumen, Banjarsari (OMAH TURI)"
HT0027;NOVOTEL SOLO HOTEL (PT. SUNINDO INDAH HOTEL);JL. SLAMET RIYADI NO.272 SOLO
PC0053;NYAWIJI COFFE KLATEN;JL. CANDISARI KM 01. SENDAGAN , MOJAYAN, KLATEN TENGAH
RS0185;OBONK SOLO BARU;"JL.SOLO PERMAI ( DEPAN TOYOTA NASMOCO ) SOLO"
RS0186;OBONK STEAK 2;Jl. Slamet Riyadi No.626SOLO
RS0187;OBONK STEAK KLECO SOLO;"JL SLAMET RIYADI KLECO-SOLO"
RS0259;OBONK STEAK SOLO;Jl. Supomo No. 11Solo
FC0001;OBONK STEAK SOLO (FoC);Jl. Supomo No. 11Solo
RS0192;OJO GOSONG SUKI & GRILL;Jl. Popda, Blok B18, Ruko Global, Nusukan, Banjarsari, Surakarta
RS0189;OLA VITA;"Jl. Tirtosani No. 11 Solo"
DS0017;OLEH OLEH BU MARGONO;"BU DARMINI JLN. KI AGENG GRIBIG NO 64 DADIMULYO, KLATEN UTARA"
RS0190;OLREST CAFE;Jl. Abdul Muis No.51, Setabelan, Jebres, Kota Surakarta, Jawa Tengah 57139, Indonesia
RS0191;OMAH FROZEN FOOD;Jl. Kalingga Utara III No.7, Kadipiro, Banjarsari, Kota Surakarta, Jawa Tengah
RS0194;OMAH JAWI;"OMAH JAWI Jl. Kelengkeng No. 2A, Kerten, Laweyan, Surakarta"
RS0195;OMAH SINTEN;"JL DIPONEGORO 34/35 NGARSOPURO SOLO"
RS0196;O'PALLET;Jl. Nanas No.1, Driyan, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali
RS0197;O'PALLET CAFE COFFE N CULINARY;Jl. Nanas No.1, Driyan, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57311
RS0198;OPPAPIZZA CAFE;Jl. Museum, Sriwedari, Laweyan, Kota Surakarta, Jawa Tengah 57141
RS0199;ORIENT RESTAURANT;Jl. Slamet Riyadi No.397Solo
RS0200;O-SOLO-MIO;Jl. Slamet Riyadi No. 253 Solo
RS0188;OVEN FRIED CHICKEN;Jl. Brigjen Sudiarto No 50A Gading Kidul Solo
RS0031;PACIFIC SOLO;Jl. Kenanga No.31 Purwosari Kec. Laweyan Kota Surakarta
UM0034;PAK AWI;Jl. Dr. Rajiman No.374, Panularan, Laweyan, Kota Surakarta, Jawa Tengah
UM0035;PAK BAGUS;SOLO
UM0036;PAK BUDI MAGELANG;MAGELANG
UM0037;PAK FENDY;JL.SUMATRA 5 No 3A,Depan Gereja GKN Hosana Ketelat,(monumen pers ketimur gang ke 2 belok kiri)
UM0039;PAK HARI;SOLO
UM0041;PAK KRISTIJONO;SOLO
UM0042;PAK LABIB;SOLO
UM0038;PAK MARVIN;"JLN. YOS SUDARSO NO.376 SOLO"
DS0019;PAK SETIAWAN;KAMPUNG BATIK LAWEYAN
RS0201;PALM RESTO;Jl. Laksda. AdisuciptoSolo
RS0202;PALMYRA RESTAURANT;JLN. DR. RADJIMAN NO.200SOLO
RS0203;PALOMINA KITCHEN AND BAR;Jl. Abdul Muis No.28, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129
RS0162;PANDAN LEAF BAKERY CAKE;Jl. Kaliurang km.5,3Jogjakarta
RS0204;PANTIES PIZZA;Jl. Kebangkitan Nasional Laweyan Penumping Kota Surakarta Jawa Tengah 57141
RS0205;PAPARONS PIZZA SOLO;JL. GATOT SUBROTO 221, SURAKARTA
RS0206;PAPAT COFFE;JL.HONGGO WONGSO
RS0207;PAR3;"JL.ADISUJIPTO (BARAT Hotel NARITA) SOLO"
RS0208;PAR 3 RESTO GOLF;Jl. Adi Sucipto Blulukan Colomadu Surakartasamping narita Hotel
RS0209;PAR FOUR CAFE;Jl. Kebangkitan Nasional No.31, Sriwedari Surakarta
RS0210;PAR FOUR C.H. GRILL & BBQ;"JL. ADI SUCIPTO BLULUKAN SOLO"
RS0211;PART3 GOLF;"JL. ADISUPCIPTO , BLULUKAN SOLO"
RS0215;PATBINGSOO;Jl. Jend. Urip Sumoharjo No.97 SOLO
RS0212;PEACOCK COFFEE;Jln.Palagan Tentara Pelajar NO: 16.C( Gapura Sedan)08579999551
RS0214;PERIDOT COFFE & TEA;Jl. Wijaya Kusuma No.29, Gayamprit, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah 57423
RS0213;PERMATA HIJAU RESTO;Jl. Surya No.101. Jagalan SOLO
UM0043;PERSONAL;SOLO
FC0002;PERSONAL (FoC);SOLO
RS0216;PETI MAS;SOLO
RS0217;PHI PHI RESTAURANT;Sentra Niaga The Park Mall Jl. Ir. Soekarno, Dusun II, Madegondo, Grogol, Kabupaten Sukoharjo
PC0054;PINARA COFFEE;Jl. Kebangkitan Nasional No.85, Penumping, Kec.Laweyan, Kota SurakartaJawa Tengah
RS0218;PIORES;Jl. Matoa Raya I, Karangasem, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57145
RS0219;PIZZA BEE (HOTEL KOTA);Jl. Slamet Riyadi No.125 Kemlayan, Serengan, Surakarta
RS0220;PIZZA HOUSE;"JL.TUTANG NO.1 CANTEL WETAN SRAGEN TENGAH"
RS0221;PIZZA RUMAH ROTI;"JL. RONGGOWARSITO NO 93 KEPRABON BANJARSARI"
RS0222;PIZZA RUMAH ROTI (FOC);Jl. Ronggowarsito No.93, Keprabon, Banjarsari, Kota Surakarta
RS0223;PIZZA SLICE KLATEN;"JL.VETERAN NO.28 JALAN UTAMA JOGJA-SOLO"
RS0224;PLANET ESPREZZO;JL.ADI SUCIPTO NO.1 SOLO
RS0225;PLANET RAMAYANA;"Jl. Raya Solo Baru AA No.18 Solo"
RS0226;PLATE O DIRTY TABLE;"JL.AHMAD YANI NO. 214 PABELAN BARAT LAMPU MERAH PASAR KLECO. SEBELAH ISTI BANK"
RS0227;PLATE-O KLATEN;Jl. Kopral Sayom No.99, RW.09, Jetak Kidul, Karanganom, Klaten Utara, Kabupaten Klaten, Jawa Tengah
RS0228;PLATE O SOLO (PIPPELINE);"JL.ARIFIN NO 59 KEPATIHAN WETAN JEBRES KOTA SURAKARTA JAWA TENGAH"
RS0229;PLATINO RESTAURANT;Jl. Manggar Raya No.19, Dusun I, Grogol, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552
RS0274;PODJOK LAMPU;Jl. Sumpah Pemuda No.101 Mojosongo Jebres Surakarta
RS0231;POLAR BEAR;"Jl. Adi Sucipto No.29 Kerten Laweyan Surakarta POM BENSIN MANAHAN"
RS0232;PONDOK TINGGAL HOTEL;SOLO
RS0230;PORTOTINO STEAK;"JL. SLAMET RIYADI TIMUR TUGU KERTOSURO TELP. 0271 5838869 KERTOSURO"
RS0233;POST IN HOTEL SOLO;Jl. Monginsidi No.125, Kestalan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132
HT0028;PREMIER INN SATORIA HOTEL (PT. SATORIA PRIMA PERSADA);SOLO
HT0029;PRIMA INN HOTEL;SOLO
RS0234;PRINGSEWU RESTAURANT;SOLO
RS0235;PRIYAI CAFE;JL. BHAYANGKARA NO.78SOLO
RS0236;PT. JITU BOGA PERSADA;Jl. Moh. Husni Thamrin 11 A Manahan, Banjarsari, Surakarta
RS0257;PUTRI;SOLO
RS0237;PUTU BUMBUNG;"JL URIP SUMOHARJO 60 SOLO"
RS0238;QUEEN PIZZA SOLO;Perum Queen Garden III Blok F0, Dusun II, Waru, Baki, Kabupaten Sukoharjo, Jawa Tengah
RS0239;QUEEN'S CANE N KEBAB;Jl. Wirengan, Baluwarti, Ps. Kliwon, Surakarta
RS0247;RAJA SIOBAK;Jl. Cut Nya Din 28 Gandekan Jebres
RS0266;RAJA STEAK;Sriwedari, Laweyan, Surakarta City, Central Java 57141,
RS0267;RALANA EATERY;"JL. SLAMET RIYADI 301 RT01 RW.03 PENUMPING, LAWEYAN, SURAKARTA SAMPING XO."
HT0040;RAMADA SWITES HOTEL;Jl. Adi Sucipto No.56, Gatak, Gajahan, Colomadu, Kabupaten Karanganyar, Jawa Tengah 57716
RS0268;RAMAYANA COFFEE;"JL. DR. WAHIDIN NO. 22 SOLO"
RS0269;RAMAYANA RESTAURANT;solo baru solo
RS0270;REBEL GOFOOD JEBRES (PT. REBEL GOFOOD INDONESIA);Gedung Pasaraya Blok M. Gedung B Lt. 6 dan 7Jl. Iskandarsyah II No. 2 Melawai Kebayoran Baru Jakarta Selatan
RS0271;REBEL GOFOOD LAWEYAN (PT. REBEL GOFOOD INDONESIA);Gedung Pasaraya Blok M Gedung B Lantai 6 dan 7Jl. Iskandarsyah II No. 2 Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta
RS0272;RELAX RESTO;"JL. SLAMET RIYADI NO.39 SOLO"
RS0273;REPHAS;"JL.Slamet Riyadi no 562,kawasan ALILA SOLO Lantai 2"
RS0275;REPHAS BAKERY;JLN. BASUKI RAHMAT BARAT NO 35, JAJAR, LAWEYAN SURAKARTA (BELAKANG ALILA Hotel - KANTOR IN CONTRO)
RS0254;RESTO ROCKET;"JL.DR.RAJIMAN 368 BARON SOLO ( SEBLH TIMUR Hotel KUSUMA & Hotel BARON )"
RS0253;RESWARA;JL.SENDANG LAWE DUSUN 3 KARANGGENENG KEC BOYOLALI
RS0276;RILASSATI KITCHEN AND PASTRY (NIAGARA ANEKA KREASI);Jl. Adisucipto No. 32 Blulukan Colomadu Karanganyar, SOLO
RS0277;RILASSATI KITCHEN AND PASTRY (none);Jl. Adisucipto No. 32 Blulukan Colomadu Karanganyar, Solo
RS0278;RISMA BROWNIES AND CAKE;"Jl. Solo - Purwodadi Dusun 1 Gemolong Kec. Gemolong Kabupaten Sragen"
RS0279;ROCKET RESTO;"Jl. A. Yani No.310 Dkt Terminal Tirtonadi) Solo"
HT0041;ROEMAH KOE HOTEL;JL. RADJIMAN NO. 501SOLO
RS0369;ROTAN CAFE (ROTI SOELTAN);Jl. Honggowongso Panularan Kec. Laweyan Kota Surakarta
RS0280;ROTI BAKIR;"Jl. Yosodipuro No 122, Mangkubumen, Banjarsari, Surakarta, Jawa Tengah (PER4AN SOLO PARAGON KEKIRI SEBELAH MANDIRI)"
