code;decription;kode
AAU1BOR006;AUS CHL WAG STRIPLOIN MB2+ GRASS-FED;0201.30.00 Prime Cut B/Less Segar
AAU1BOR007;AUS CHL WAG RIBEYE MB2+ GRASS-FED;0201.30.00 Prime Cut B/Less Segar
AAU1BOR008;AUS CHL WAG TENDERLOIN SS/OFF MB2+ GRASS-FED;0201.30.00 Prime Cut B/Less Segar
AAU1BOR009;AUS CHL WAG D RUMP MB2+ GRASS-FED;0201.30.00 Secondary B/Less Segar
AAU1CSW001;AUS CHL GF BA TENDERLOIN MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1CSW002;AUS CHL GF BA STRIPLOIN MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1CSW003;AUS CHL GF BA TENDERLOIN MB 3;0201.30.00 Prime Cut B/Less Segar
AAU1CSW005;AUS CHL GF BA RIBEYE MB 3;0201.30.00 Prime Cut B/Less Segar
AAU1CSW006;AUS CHL GF BA STRIPLOIN MB 3+;0201.30.00 Prime Cut B/Less Segar
AAU1CSW007;AUS CHL GF BA 2243 RIBEYE MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1DAR001;AUS CHL WAG S RIBEYE F1 MB 2-3;0201.30.00 Prime Cut B/Less Segar
AAU1DAR002;AUS CHL WAG GF RIBEYE ROLL AA3;0201.30.00 Prime Cut B/Less Segar
AAU1DAR003;AUS CHL WAG GF RIBEYE ROLL AA4;0201.30.00 Prime Cut B/Less Segar
AAU1DAR004;AUS CHL WAG GF STRIPLOIN AA3;0201.30.00 Prime Cut B/Less Segar
AAU1GBP001;AUS CHL T FQ 90CL;0201.30.00 Manufaturing B/Less Segar
AAU1GBP002;AUS CHL FOREQUARTER 85CL;0201.30.00 Manufaturing B/Less Segar
AAU1GHK001;AUS CHL BOLAR BLADE;0201.30.00 Secondary B/Less Segar
AAU1GHK002;AUS FRZ PRS SHORT RIBS B/LESS;0201.30.00 Prime Cut B/Less Segar
AAU1GHK003;AUS CHL OYSTER BLADE;0201.30.00 Secondary B/Less Segar
AAU1GRG001;AUS CHL GRAINGE ANGUS 1601 OP RIB CAP OFF MB 2-3;0201.20.00 Prime Cut B/In Segar
AAU1GRG002;AUS CHL GRAINGE ANGUS 1552 SHORTLOIN MB 2-3;0201.20.00 Prime Cut B/In Segar
AAU1GRM001;AUS CHL VEAL INSIDE;0201.30.00 Secondary B/Less Segar
AAU1GRM002;AUS CHL VEAL TENDERLOIN;0201.30.00 Prime Cut B/Less Segar
AAU1GRM003;AUS CHL A 2035 INSIDE;0201.30.00 Secondary B/Less Segar
AAU1GRM004;AUS CHL A 2070 KNUCKLE;0201.30.00 Secondary B/Less Segar
AAU1GRM005;AUS CHL A 2300 BLADE;0201.30.00 Secondary B/Less Segar
AAU1HRV001;AUS CHL A 2000 TOPSIDE;0201.30.00 Secondary B/Less Segar
AAU1HRV002;AUS CHL INSIDE;0201.30.00 Secondary B/Less Segar
AAU1HRV003;AUS CHL A 2160 TENDERLOIN SS/OFF 2KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1HRV004;AUS CHL A 2243 RIBEYE 3KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1HRV005;AUS CHL S/PR 2243 RIBEYE 3KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1HRV006;AUS CHL CHUCK TENDER;0201.30.00 Secondary B/Less Segar
AAU1HRV007;AUS CHL S/PR STRIPLOIN 3 RIBS IW VAC;0201.30.00 Prime Cut B/Less Segar
AAU1HRV008;AUS CHL A 2300 BLADE;0201.30.00 Secondary B/Less Segar
AAU1HRV009;AUS CHL EYE OF ROUND IW VAC;0201.30.00 Secondary B/Less Segar
