code;decription;kode
AAU1TAJ015;AUS CHL WAG KARUBI PLATE MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1TAJ016;AUS CHL WAG TOPSIDE MB 9-9+;0201.30.00 Secondary B/Less Segar
AAU1TAJ017;AUS CHL RIBEYE MB 3;0201.30.00 Prime Cut B/Less Segar
AAU1TAJ018;AUS CHL WAG RIBEYE MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1TAJ019;AUS CHL WAG RIBEYE MB 7-8;0201.30.00 Prime Cut B/Less Segar
AAU1TAJ020;AUS CHL WAG TENDERLOIN MB 7-8;0201.30.00 Prime Cut B/Less Segar
AAU1TAJ021;AUS CHL WAG RIBEYE MB 9-9+;0201.30.00 Prime Cut B/Less Segar
AAU1TEY001;AUS CHL TB PR 2142 STRIPLOIN;0201.30.00 Prime Cut B/Less Segar
AAU1TEY002;AUS CHL TB A 2142 STRIPLOIN 4KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1TEY003;AUS CHL TB A 2160 TENDERLOIN SS/OFF;0201.30.00 Prime Cut B/Less Segar
AAU1TEY004;AUS CHL TB A 2243 RIBEYE 3.1KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1TEY005;AUS CHL S GF TEYS SHORTLOIN;0201.20.00 Prime Cut B/In Segar
AAU1TEY006;AUS CHL TB S STRIPLOIN 3 KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1TEY007;AUS CHL TB A KNUCKLE;0201.30.00 Secondary B/Less Segar
AAU1TEY008;AUS CHL TB S RIBEYE 7R 3.1UP;0201.30.00 Prime Cut B/Less Segar
AAU1TEY009;AUS CHL YP/S GF STRIPLOIN 2+ CERTIFIED ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1TEY010;AUS CHL YP/S GF RIBEYE 2+ CERTIFIED ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1TEY011;AUS CHL YP/S GF TENDERLOIN S/OFF 2+ 1.8 UP CERTIFIED ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1TEY012;AUS CHL YP/S GF TOMAHAWK 2+ CERTIFIED ANGUS;0201.20.00 Prime Cut B/In Segar
AAU1TEY013;AUS CHL YP/S GF SHORTLOIN 2+ CERTIFIED ANGUS;0201.20.00 Prime Cut B/In Segar
AAU1TEY014;AUS CHL TB S 2160 TENDERLOIN SS/OFF;0201.30.00 Prime Cut B/Less Segar
AAU1TEY015;AUS CHL A 2000 TOPSIDE;0201.30.00 Secondary B/Less Segar
AAU1TEY016;AUS CHL EQG GF STRIPLOIN 36 SOUTH;0201.30.00 Prime Cut B/Less Segar
AAU1TEY017;AUS CHL EQG GF RIBEYE 36 SOUTH;0201.30.00 Prime Cut B/Less Segar
AAU1TEY018;AUS CHL EQG GF TENDERLOIN 36 SOUTH;0201.30.00 Prime Cut B/Less Segar
AAU1TEY019;AUS CHL EQG GF TENDERLOIN S/OFF 4+ 1.8UP CERTIFIED ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1TEY020;AUS CHL EQG GF RIBEYE 4+ CERTIFIED ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1TEY021;AUS CHL EQG GF STRIPLOIN 4+ CERTIFIED ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1TMC001;AUS CHL WAGYU S STRIPLOIN MB 4-5 (HALF CUT);0201.30.00 Prime Cut B/Less Segar
AAU1TMC002;AUS CHL WAGYU S STRIPLOIN MB 6-7 (HALF CUT);0201.30.00 Prime Cut B/Less Segar
AAU1TMC003;AUS CHL WAGYU S RIBEYE MB 4-5 (HALF CUT);0201.30.00 Prime Cut B/Less Segar
AAU1TMC004;AUS CHL WAGYU S RIBEYE MB 6-7 (HALF CUT);0201.30.00 Prime Cut B/Less Segar
AAU1TMC005;AUS CHL WAGYU S RIBEYE MB 8-9 (HALF CUT);0201.30.00 Prime Cut B/Less Segar
AAU1TMC006;AUS CHL WAGYU S TENDERLOIN SS OFF MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1TMC007;AUS CHL WAGYU S TENDERLOIN SS OFF MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1TMC008;AUS CHL WAGYU S OYSTER BLADE MB 4-5;0201.30.00 Secondary B/Less Segar
AAU1TMC009;AUS CHL WAGYU S BOLAR BLADE MB 6-7;0201.30.00 Secondary B/Less Segar
AAU1TMC010;AUS CHL WAGYU S BOLAR BLADE MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1TMC011;AUS CHL WAG S CHUCK EYE ROLL MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1TMC012;AUS CHL WAGYU S KNUCKLE MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1TMC013;AUS CHL WAGYU S EYE ROUND MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1TMC014;AUS CHL WAGYU S CHUCK TENDER MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1TMC015;AUS CHL WAGYU S STRIPLOIN MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1TMC016;AUS CHL WAGYU S OYSTER BLADE MB 6-7;0201.30.00 Secondary B/Less Segar
AAU1TMC017;AUS CHL WAGYU S TENDERLOIN SS ON MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1TMC018;AUS CHL WAGYU S TENDERLOIN SS ON MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1TNR001;AUS CHL CAAB RIBEYE GF IW VAC;0201.30.00 Prime Cut B/Less Segar
AAU1TNR002;AUS Chilled CAAB Tenderloin GF IW Vac;0201.30.00 Prime Cut B/Less Segar
AAU1TNR003;AUS CHL CAAB STRIPLOIN GF IW VAC;0201.30.00 Prime Cut B/Less Segar
AAU1TYB003;AUS CHL TB S 2142 STRIPLOIN 5 KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1WFA001;AUS CHL YG GF KNUCKLE PLATINUM ANGUS;0201.30.00 Secondary B/Less Segar
AAU1WFA002;AUS CHL YG GF TENDERLOIN PLATINUM ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1WFA003;AUS CHL YG GF STRIPLOIN PLATINUM ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1WFA004;AUS CHL YG GF RIBEYE PLATINUM ANGUS;0201.30.00 Prime Cut B/Less Segar
AAU1WFA005;AUS CHL YG BLADE;0201.30.00 Secondary B/Less Segar
AAU1WFA006;AUS CHL YG GF STRIPLOIN FINEST BRITISH BREED;0201.30.00 Prime Cut B/Less Segar
AAU1WFA007;AUS CHL YG GF RIBEYE FINEST BRITISH BREED;0201.30.00 Prime Cut B/Less Segar
AAU1WIN001;AUS CHL PRS BA GF 2142 STRIPLOIN 1 RIB MB 4+;0201.30.00 Prime Cut B/Less Segar
AAU1WIN002;AUS CHL PRS BA GF 2243 RIBEYE MB 4+;0201.30.00 Prime Cut B/Less Segar
AAU1WIN003;AUS CHL PRS BA GF 2160 TENDERLOIN SS/OFF MB 4+;0201.30.00 Prime Cut B/Less Segar
AAU1WIN004;AUS CHL BA GF 2160 TENDERLOIN SS/OFF MB 2+;0201.30.00 Prime Cut B/Less Segar
AAU1WIN005;AUS CHL ANGUS RES PR 1552 SHORTLOIN MB 4+;0201.20.00 Prime Cut B/In Segar
AAU1WIN006;AUS CHL PRS 1601 OP RIBS / TOMAHAWK MB 4+;0201.20.00 Prime Cut B/In Segar
AAU1WIN007;AUS CHL S 2160 TENDERLOIN SS/OFF ORGANIC;0201.30.00 Prime Cut B/Less Segar
AAU1WIN008;AUS CHL S 2142 STRIPLOIN ORGANIC;0201.30.00 Prime Cut B/Less Segar
AAU1WIN009;AUS CHL S 2243 RIBEYE ORGANIC;0201.30.00 Prime Cut B/Less Segar
AAU1WMP001;AUS CHL PR 2142 STRIPLOIN;0201.30.00 Prime Cut B/Less Segar
AAU2AAC001;AUS CHL WAG T 90CL;0201.30.00 Secondary B/Less Segar
AAU2AAC002;AUS FRZ WAG K 95CL;0202.30.00 Secondary B/Less Beku
AAU2AAC003;AUS CHL WAG PE 85CL;0201.30.00 Secondary B/Less Segar
AAU2AAC004;AUS CHILLED WAG BS 85 CL;0201.30.00 Secondary B/Less Segar
AAU2AAC005;AUS FRZ WAG BL 90CL;0202.30.00 Secondary B/Less Beku
AAU2AAC006;AUS CHL WAG O 90CL;0201.30.00 Secondary B/Less Segar
AAU2AAC007;AUS FRZ WAG S F1 KARUBI PLATE;0202.30.00 Secondary B/Less Beku
AAU2AAC008;AUS FRZ H TRIMMING 65CL;0202.30.00 Manufaturing B/Less Beku
AAU2AAC009;Aus Frozen LV Trimming 65CL;0202.30.00 Manufaturing B/Less Beku
AAU2AAC010;AUS FRZ BEEF LIPS;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat, Feet
AAU2AAC011;AUS FRZ WAG TOPSIDE MB 9;0201.30.00 Secondary B/Less Segar
AAU2AAC012;AUS FRZ WAG CT 90CL;0202.30.00 Secondary B/Less Beku
AAU2AAC013;AUS FRZ WAG INTERCOSTAL MB 7-8;0201.30.00 Secondary B/Less Segar
AAU2AAC014;AUS FRZ BEEF NECK MEAT B/IN;0202.20.00 Secondary B/In Beku
AAU2AAC015;AUS FRZ BEEF LIVER;0206.22.00 Hati
AAU2AAC016;AUS FRZ A 2160 TENDERLOIN SS/OFF AGED;0202.30.00 Prime Cut B/Less Beku
AAU2AAC017;AUS FRZ BEEF TRIMMING 65 CL;0202.30.00 Manufaturing B/Less Beku
AAU2AAC018;AUS FRZ WAG TENDERLOIN MB 9;0202.30.00 Prime Cut B/Less Beku
AAU2AAC019;AUS FRZ WAG STRIPLOIN MB 8;0202.30.00 Prime Cut B/Less Beku
AAU2AAC020;AUS FRZ WAG STRIPLOIN MB 9;0202.30.00 Prime Cut B/Less Beku
AAU2AAC021;AUS FRZ WAG STRIPLOIN MB 11;0202.30.00 Prime Cut B/Less Beku
AAU2AAC022;AUS FRZ WAG STRIPLOIN MB 12;0202.30.00 Prime Cut B/Less Beku
AAU2AAC023;AUS FRZ WAG STRIPLOIN MB 1-2;0202.30.00 Prime Cut B/Less Beku
AAU2AAC024;AUS FRZ WAG STRIPLOIN MB 3;0202.30.00 Prime Cut B/Less Beku
AAU2AAC025;AUS FRZ WAG STRIPLOIN MB 5;0202.30.00 Prime Cut B/Less Beku
AAU2AAC026;AUS FRZ WAG STRIPLOIN MB 6;0202.30.00 Prime Cut B/Less Beku
AAU2AAC027;AUS FRZ WAG RIBEYE MB 1-2;0202.30.00 Prime Cut B/Less Beku
AAU2AAC028;AUS FRZ WAG RIBEYE MB 8;0202.30.00 Prime Cut B/Less Beku
AAU2AAC029;AUS FRZ WAG RIBEYE MB 9;0202.30.00 Prime Cut B/Less Beku
AAU2AAC030;AUS FRZ WAG TENDERLOIN MB 6-7;0202.30.00 Prime Cut B/Less Beku
AAU2AAC031;AUS FRZ WAG RIB BLADE MEAT MB 3;0202.30.00 Secondary B/Less Beku
AAU2AAC032;AUS FRZ WAG RIB BLADE MEAT MB 4-5;0202.30.00 Secondary B/Less Beku
AAU2AAC033;AUS FRZ WAG RIB BLADE MEAT MB 6-7;0202.30.00 Secondary B/Less Beku
AAU2AAC034;AUS FRZ WAG RIB BLADE MEAT MB 8-9+;0202.30.00 Secondary B/Less Beku
AAU2ACC001;AUS FRZ BEEF LUNG BP;0202.29.00 Paru dan Jantung
AAU2ACC002;AUS FRZ BEEF LIPS;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2ACC003;AUS FRZ TONGUE ROOT BP;0206.21.00 Tongue
AAU2ACC004;AUS FRZ HEAD MEAT;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2ACC005;AUS FRZ BRISKET BONE;0202.20.00 Secondary B/In Beku
AAU2ACC006;AUS FRZ BEEF TRIMMING 65 CL;0202.30.00 Manufaturing B/Less Beku
AAU2ACC007;AUS FRZ NECK BONE;0202.20.00 Secondary B/In Beku
AAU2AMG001;AUS FRZ 6040 TONGUE ROOT;0206.21.00 Tongue
AAU2AMG002;AUS FRZ BEEF LUNG;0202.29.00 Paru dan Jantung
AAU2AMG003;AUS FRZ BEEF HEART;0202.29.00 Paru dan Jantung
AAU2AMG004;AUS FRZ BEEF LIPS;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2AMG005;AUS FRZ 6080 BEEF LIVER;0206.22.00 Hati
AAU2AMG006;AUS FRZ VEAL TRUNK MEAT 90 CL B/LESS;0202.30.00 Secondary B/Less Beku
AAU2AMG007;AUS FRZ VEAL NECK B/IN;0202.20.00 Secondary B/In Beku
AAU2AMG008;AUS FRZ NECK BONES;0202.20.00 Secondary B/In Beku
AAU2AMG009;AUS FRZ A RIBEYE 5-7 RIB 2.2 - 3.1 KG;0202.30.00 Prime Cut B/Less Beku
AAU2AMG010;AUS FRZ 1672 BRISKET PL B/IN;0202.20.00 Secondary B/In Beku
AAU2AMG011;AUS FRZ BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2AMG012;AUS FRZ 1695 SPARE RIB;0202.20.00 Secondary B/In Beku
AAU2AMG013;AUS FRZ 6273 BEEF TENDON;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2AMG014;AUS FRZ YP 2142 STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2AMG015;AUS FRZ YP 2160 TENDERLOIN SS/OFF 1,8KG UP;0202.30.00 Prime Cut B/Less Beku
AAU2AMG016;AUS FRZ YP CLOD ANGUS;0202.30.00 Secondary B/Less Beku
AAU2AMG017;AUS FRZ PR RIBEYE AGED 3.1 KG OV;0202.30.00 Prime Cut B/Less Beku
AAU2AMG018;DAGING SAPI AUS AMG BLADE BLACK ANGUS GRASS FED, HORMONE FREE, ANTIBIOTIC FREE 1KG;0202.30.00 Secondary B/Less Beku
AAU2AMG019;AUS FRZ BRISKET B/LESS NE;0202.30.00 Manufaturing B/Less Beku
AAU2AMG020;AUS FRZ 2302 BOLAR BLADE;0202.30.00 Secondary B/Less Beku
AAU2AMG021;AUS FRZ 2050 OUTSIDE FLAT;0202.30.00 Secondary B/Less Beku
AAU2AMH001;AUS FRZ BEEF TRIMMING 70 CL;0202.30.00 Manufaturing B/Less Beku
AAU2AMH002;AUS Frozen Mince Beef DMM;0202.30.00 Manufaturing B/Less Beku
AAU2AMH003;AUS FRZ A 2160 TENDERLOIN SS/OFF AGED;0202.30.00 Prime Cut B/Less Beku
AAU2AMH004;AUS FRZ A 2142 STRIPLOIN AGED;0202.30.00 Prime Cut B/Less Beku
AAU2AMH005;AUS FRZ S 2142 STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2AMH006;AUS FRZ PR GF 2142 STRIPLOIN 1 RIB IW/VAC;0202.30.00 Prime Cut B/Less Beku
AAU2AMH007;AUS FRZ S RIBEYE;0202.30.00 Prime Cut B/Less Beku
AAU2AMH008;AUS FRZ B 2142 STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2AMH009;AUS FRZ B 2160 TENDERLOIN SS/OFF;0202.30.00 Prime Cut B/Less Beku
AAU2AMH010;AUS FRZ A 2302 BOLAR BLADE IW;0202.30.00 Secondary B/Less Beku
AAU2AMH011;AUS FRZ A 2050 OUTSIDE FLAT;0202.30.00 Secondary B/Less Beku
AAU2AMH012;AUS FRZ FQ 90 CL;0202.30.00 Manufaturing B/Less Beku
AAU2AMH013;AUS FRZ B 2243 RIBEYE;0202.30.00 Prime Cut B/Less Beku
AAU2AMH014;AUS FRZ PR GF RIBEYE ROLL;0202.30.00 Prime Cut B/Less Beku
AAU2AND001;AUS WAG TOPSIDE 8-9;0201.30.00 Secondary B/Less Segar
AAU2ASW001;AUS FRZ BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2BLA001;AUS FRZ GF WAG STRIPLOIN MB 9+;0202.30.00 Prime Cut B/Less Beku
AAU2BLA002;AUS FRZ GF WAG SHIN SHANK MB 9+;0202.30.00 Secondary B/Less Beku
AAU2BLA003;AUS FRZ GF WAG TOPSIDE CAP OFF MB 9+;0202.30.00 Secondary B/Less Beku
AAU2BLA004;AUS FRZ GF WAG BRISKET PEDO MB 9+;0202.30.00 Manufaturing B/Less Beku
AAU2BLA005;AUS FRZ GF WAG KNUCKLE MB 9+;0202.20.00 Secondary B/In Beku
AAU2BOR001;AUS FRZ SS LP TRIMMING 90 CL;0202.30.00 Manufaturing B/Less Beku
AAU2BOR002;AUS FRZ A 2360 SHIN SHANK;0202.30.00 Secondary B/Less Beku
AAU2BOR003;AUS FRZ SS BP TRIMMING 90 CL;0202.30.00 Manufaturing B/Less Beku
AAU2BOR004;AUS FRZ A 2160 TENDERLOIN SS/OFF AGED;0202.30.00 Prime Cut B/Less Beku
AAU2BOR005;AUS FRZ A 2142 STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2BOR006;AUS FRZ TONGUE ROOT;0206.21.00 Tongue
AAU2BOR007;AUS FRZ B 2070 KNUCKLE;0202.20.00 Secondary B/In Beku
AAU2BOR008;AUS FRZ GF STRIPLOIN 1 RIB 2.7-3.6 KG;0202.30.00 Prime Cut B/Less Beku
AAU2BOR009;AUS FRZ GF STRIPLOIN 3.6 KG UP;0202.30.00 Prime Cut B/Less Beku
AAU2BOR010;AUS FRZ B STRIPLOIN 3.6 KG UP;0202.30.00 Prime Cut B/Less Beku
AAU2BOR011;AUS FRZ LIPS;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2BOR012;AUS FRZ A 2030 OUTSIDE;0202.30.00 Secondary B/Less Beku
AAU2BOR013;AUS FRZ A 2310 CHUCK TENDER;0202.30.00 Secondary B/Less Beku
AAU2BOR014;AUS FRZ NECK BONE;0202.20.00 Secondary B/In Beku
AAU2BOR015;AUS FRZ A 2640 CHUCK SHORT RIB B/IN;0202.20.00 Secondary B/In Beku
AAU2BOR016;AUS FRZ 6060 CHEEK MEAT;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2BOR017;AUS FRZ BEEF TAIL;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2BOR018;AUS FRZ BEEF LUNG;0202.29.00 Paru dan Jantung
AAU2BOR019;AUS FRZ BRISKET BONE;0202.20.00 Secondary B/In Beku
AAU2BOR020;AUS FRZ BLADE;0202.30.00 Secondary B/Less Beku
AAU2BOR021;AUS FRZ BEEF LIVER;0206.22.00 Hati
AAU2BOR022;AUS FRZ HEAD MEAT;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2BOR023;AUS FRZ S 2091 RUMP CAP (PICANHA);0202.30.00 Prime Cut B/Less Beku
AAU2BRL001;AUS FRZ NECK BONE;0202.20.00 Secondary B/In Beku
AAU2BRL002;AUS FRZ BACK BONE;0202.20.00 Secondary B/In Beku
AAU2BRL003;AUS FRZ BRISKET PL B/IN;0202.20.00 Secondary B/In Beku
AAU2BRL004;AUS FRZ BEEF SPARE RIB;0202.20.00 Secondary B/In Beku
AAU2BRL005;AUS FRZ BEEF BACK RIB;0202.20.00 Secondary B/In Beku
AAU2BRL006;AUS FRZ BEEF FQ 85 CL;0202.30.00 Manufaturing B/Less Beku
AAU2BRL007;AUS FRZ TRIMMING 85 CL;0202.30.00 Manufaturing B/Less Beku
AAU2BRL008;AUS FRZ 6000 TONGUE ROOT;0206.21.00 Tongue
AAU2BRL009;AUS FRZ BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2BRL010;AUS FRZ 65 CL;0202.30.00 Prime Cut B/Less Beku
AAU2BRL011;AUS FRZ B STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2BRL012;AUS FRZ BEEF SHORT RIB B/IN;0202.20.00 Prime Cut B/In Beku
AAU2BRL013;AUS FRZ A STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2BRL016;AUS FRZ 6030 BEEF TONGUE SWISS CUT;0206.21.00 Tongue
AAU2BRL017;AUS FRZ 2275 CHUCK ROLL;0202.30.00 Prime Cut B/Less Beku
AAU2BRL018;AUS FRZ 2000 TOPSIDE;0202.30.00 Secondary B/Less Beku
AAU2BRL019;AUS FRZ 2360 SHIN SHANK;0202.30.00 Secondary B/Less Beku
AAU2BTR003;AUS FRZ SALT BUSH LAMB RUMP CAP ON MW VAC;0202.30.00 Prime Cut B/Less Beku
AAU2CAG001;AUS FRZ A D-RUMP;0202.30.00 Prime Cut B/Less Beku
AAU2CAG002;AUS FRZ S D-RUMP;0202.30.00 Secondary B/Less Beku
AAU2CAG003;AUS FRZ A RIBEYE;0202.30.00 Prime Cut B/Less Beku
AAU2CAG004;AUS FRZ S RIBEYE;0202.30.00 Prime Cut B/Less Beku
AAU2CAG005;AUS FRZ A PE BRISKET;0202.30.00 Manufaturing B/Less Beku
AAU2CAG006;AUS FRZ S PE BRISKET;0202.30.00 Manufaturing B/Less Beku
AAU2CAG007;AUS FRZ S NE BRISKET;0202.30.00 Manufaturing B/Less Beku
AAU2CAG008;AUS FRZ B SHORT RIB BONE IN;0202.20.00 Prime Cut B/In Beku
AAU2CAG009;AUS FRZ BRISKET BONE;0202.20.00 Secondary B/In Beku
AAU2CAG010;AUS FRZ A NE BRISKET;0202.30.00 Manufaturing B/Less Beku
AAU2CAS001;AUS FRZ BEEF LIVER;0206.22.00 Hati
AAU2CAS002;AUS FRZ BEEF HEART;0202.29.00 Paru dan Jantung
AAU2CAS003;AUS Frozen Veal Cheek Meat;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2CAS004;AUS FRZ TONGUE ROOT;0206.21.00 Tongue
AAU2CAS005;AUS FRZ BEEF LIPS;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2CAS006;AUS FRZ BEEF HEAD MEAT;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2CAS007;AUS FRZ BEEF LUNG;0202.29.00 Paru dan Jantung
AAU2CAS008;AUS FRZ BEEF NECK MEAT;0202.20.00 Secondary B/In Beku
AAU2CAS009;AUS FRZ VEAL TRIMMING 75 CL;0202.30.00 Manufaturing B/Less Beku
AAU2CAS010;AUS FRZ BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2CAS011;AUS FRZ TRIMMING 85 CL;0202.30.00 Manufaturing B/Less Beku
AAU2CAS012;AUS FRZ WAG 65 CL;0202.30.00 Prime Cut B/Less Beku
AAU2CAS013;AUS FRZ WAG NECK BONES BP;0202.20.00 Secondary B/In Beku
AAU2CAS014;AUS FRZ BRISKET BONES;0202.20.00 Secondary B/In Beku
AAU2CDR001;AUS FRZ VEAL LUNG BP;0202.29.00 Paru dan Jantung
AAU2CDR002;AUS FRZ VEAL LIVER BP;0206.22.00 Hati
AAU2CJR001;AUS Frozen Pork Tenderloin;0202.30.00 Prime Cut B/Less Beku
AAU2CLN001;AUS FRZ BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2CMP001;AUS FRZ OXTAIL;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat
AAU2CNH001;AUS FRZ BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2COL001;AUS FROZEN BEEF TONGUE ROOT;0206.21.00 Tongue
AAU2COL002;AUS FRZ BEEF LUNG;0202.29.00 Paru dan Jantung
AAU2COL003;AUS FRZ BEEF LIVER;0206.22.00 Hati
AAU2COL004;AUS FRZ 6221 BEEF FAT;0202.30.00 Manufaturing B/Less Beku
AAU2COL005;AUS FRZ YP BRISKET BONE;0202.20.00 Secondary B/In Beku
AAU2COL006;AUS FRZ 1697 BEEF BACK RIBS;0202.20.00 Secondary B/In Beku
AAU2COL007;AUS FRZ YP 1692 SHORT RIBS B/IN IW;0202.20.00 Prime Cut B/In Beku
AAU2COL008;AUS FRZ YP 1631 CHUCK SHORT RIBS B/IN IW;0202.30.00 Secondary B/Less Beku
AAU2CRO001;AUS Frozen Chuck Eye Roll;0202.30.00 Secondary B/Less Beku
AAU2DMC001;AUS FRZ WAG STRIPLOIN MB 9+;0202.30.00 Prime Cut B/Less Beku
AAU2DMC002;AUS FRZ WAG CHUCK EYE ROLL MB 9+;0202.30.00 Secondary B/Less Beku
AAU2ECT001;AUS FRZ B 1631 CHUCK SHORT RIB B/IN;0202.20.00 Secondary B/In Beku
AAU2ECT002;AUS FRZ A 1692 SHORT RIBS B/IN IW;0202.20.00 Prime Cut B/In Beku
AAU2ECT003;AUS FRZ A 1631 CHUCK SHORT RIBS B/IN IW;0202.30.00 Secondary B/Less Beku
AAU2ECT004;AUS FRZ B 1692 SHORT RIBS B/IN IW;0202.20.00 Prime Cut B/In Beku
AAU2ECT005;AUS FRZ A TENDERLON;0202.30.00 Prime Cut B/Less Beku
AAU2GBP001;AUS FRZ BEEF TRIMMING 85 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GBP002;AUS FRZ SS BP TRIMMING 90 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GBP003;AUS FRZ BEEF FOREQUARTER 85 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GBP004;AUS FRZ BEEF FEET;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat, Feet
AAU2GBP005;AUS FRZ TRIMMING 95 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GBP006;AUS FRZ BEEF FOREQUARTER 85 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GBP007;AUS FRZ BEEF TRIMMING 65 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GBP008;AUS FRZ A 2360 SHIN SHANK;0202.30.00 Secondary B/Less Beku
AAU2GBP009;AUS FRZ BLADE;0202.30.00 Secondary B/Less Beku
AAU2GBP010;AUS FRZ TONGUE ROOT;0206.21.00 Tongue
AAU2GBP011;AUS FRZ 1642 BRISKET B/IN;0202.20.00 Secondary B/In Beku
AAU2GBP012;AUS FRZ BEEF LUNG;0202.29.00 Paru dan Jantung
AAU2GBP013;AUS FRZ A 2090 RUMP;0202.30.00 Prime Cut B/Less Beku
AAU2GBP014;AUS FRZ A 2160 TENDERLOIN SS/OFF AGED 2 KG UP;0202.30.00 Prime Cut B/Less Beku
AAU2GBP015;AUS FRZ BEEF LIPS;0206.29.00 Lips, Tandon, Tail, Head Meat, Cheek Meat, Feet
AAU2GBP016;AUS FRZ CHUCK BONE;0202.30.00 Prime Cut B/Less Beku
AAU2GBP017;AUS FRZ MINCED BEEF DMM;0202.30.00 Manufaturing B/Less Beku
AAU2GBP018;AUS FRZ 2070 KNUCKLE BP;0202.20.00 Secondary B/In Beku
AAU2GBP019;AUS FRZ BRISKET PE B/LESS;0202.30.00 Manufaturing B/Less Beku
AAU2GBP020;AUS FRZ A 2160 TENDERLOIN 1.4 - 1.8 KG;0202.30.00 Prime Cut B/Less Beku
AAU2GBP021;AUS FRZ S STRIPLOIN;0202.30.00 Prime Cut B/Less Beku
AAU2GBP022;AUS FRZ A 2050 OUTSIDE FLAT;0202.30.00 Secondary B/Less Beku
AAU2GHK001;AUS FRZ TRIMMING 95 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GHK002;AUS Frozen Fat Trimming 10-20 CL;0202.30.00 Manufaturing B/Less Beku
AAU2GHK003;AUS FRZ SHORT RIB B/IN;0202.20.00 Prime Cut B/In Beku
AAU2GHK004;AUS Frozen B/Less Eye Of Round;0202.30.00 Secondary B/Less Beku
AAU2GHK005;AUS Frozen Oyster Blade;0202.30.00 Secondary B/Less Beku
AAU2GHK006;AUS Frozen Brisket Bones;0202.20.00 Secondary B/In Beku
AAU2GHK008;AUS FRZ FQ 85CL;0202.30.00 Manufaturing B/Less Beku
AAU2GHK009;AUS Frozen B/Less PE Brisket Deckle Off;0202.30.00 Manufaturing B/Less Beku
