code;itemcode;itemname;disc;servicefee
109;AID2OLS109;US Ribeye Choice Cut Yakiniku 250 Gr - Indoguna;0.031;3.1
110;AID2OLS110;US Ribeye Choice Cut Shabu 250 Gr - Indoguna;0.031;3.1
111;AID2OLS112;US Shortloin Choice T Bone 750 Gr - Indoguna;0.031;3.1
112;FES3LAR006;Extra Virgin Olive Oil - Special Coupage LA RAMBLA 3 Liter - Indoguna;0.031;3.1
113;AID2OLS114;AUS Lamb Rack MULWARRA Cut 500 Gr - Indoguna;0.031;3.1
114;AID2OLS113;AUS Lamb Rack THOMAS FOODS Cut 500 Gr - Indoguna;0.031;3.1
115;AID2OLS115;AUS Wagyu Topside MB 9+ BLACKMORE Fullblood Wagyu Cut 250 Gr -Indoguna;0.031;3.1
116;AID2OLS106;US Short Rib Boneless Cut Yakiniku 250 Gr - Indoguna;0.031;3.1
117;AID2OL0124;AUS Blade Cut Yakiniku - Daging Slice Yakiniku Blade AUS (Flash Sale);0.031;3.1
118;AID2OLS097;NZ Striploin Grass Fed Cut Steak 200 Gr - Indoguna;0.031;3.1
119;FIT3SAL003;Pomace Olive Oil SALVADORI 5 Liter dari Italia - Indoguna;0.031;3.1
120;BID2IGU116;EL PRIMO Sosis Ayam Frankfurter / Chicken Frankfurter - Indoguna;0.031;3.1
121;BID2IGU157;EL PRIMO Sosis Ayam / Chicken Picnic - Indoguna;0.031;3.1
122;AID2OLS102;AUS Intercostal Cut Sate 500 Gr - Indoguna;0.031;3.1
123;AID2OLS108;AUS Beef Liver / Hati Sapi 1 Kg - Indoguna;0.031;3.1
124;AID2OLS105;AUS Shortloin A T Bone 500 Gr - Indoguna;0.031;3.1
125;AID2OLS103;AUS Shortloin A Porterhouse 500 Gr - Indoguna;0.031;3.1
126;AID2OLS095;AUS Striploin A Grass Fed Cut Yakiniku 250 Gr - Indoguna;0.031;3.1
127;AID2OLS099;AUS Wagyu T bone MB 6 - Cut 750 Gr - Indoguna;0.031;3.1
128;AID2OLS107;NZ Striploin PS Grass Fed Cut Steak 200 Gr - Indoguna;0.031;3.1
129;AID2OLS100;NZ Striploin PR Grass Fed Cut Steak 200 Gr - Indoguna;0.031;3.1
130;AID2OLS101;NZ Ribeye Grass Fed Cut Steak 200 Gr - Indoguna;0.031;3.1
131;BID2IGU067;EL PRIMO Bakso Sapi Urat Premium 750 Gr - Indoguna;0.031;3.1
132;BID2IGU122;EL PRIMO Sosis Sapi Frankfurter / Beef Frankfurter - Indoguna;0.031;3.1
133;BID2IGU158;EL PRIMO Sosis Sapi / Beef Picnic - Indoguna;0.031;3.1
134;BID2IGU124;EL PRIMO Sosis Sapi Bratwurst / Beef Bratwurst - Indoguna;0.031;3.1
135;BID2IGU035;EL PRIMO Sosis Sapi Wagyu / Wagyu Sausage - Indoguna;0.031;3.1
136;HID2MLF001;MILK LIFE Fresh Milk / Susu Segar MILK LIFE ( Promo ) - Indoguna;0.031;3.1
137;AID2OLS096;AUS MULWARRA Black Angus Striploin Hormone & Antibiotic Free-Cut 200Gr;0.031;3.1
138;AID2OLS098;AUS Wagyu Porterhouse MB 6 - Cut 750 Gr - Indoguna;0.031;3.1
139;AID2OLS094;AUS Shortplate Beef Slice / Daging Sapi Slice 250 GR - INDOGUNA;0.031;3.1
140;AID2OLS066;AUS Striploin A Sliced Beef - Daging Sapi Sliced Striploin A / 250 GR;0.031;3.1
141;AID2OLS092;NZ PS Striploin MB 4+ Premium Wet Aged 55 Days - Indoguna;0.031;3.1
142;AID2OLS093;AUS Rump Cap Picanha Steak - Indoguna;0.031;3.1
143;AID2OLS084;Daging Kerbau Knuckle 1 KG - Indoguna;0.031;3.1
144;AID2OLS082;Daging Kerbau Tipe 2 - 1 KG - Indoguna;0.031;3.1
145;AID2OLS089;Daging sapi untuk Sop / Soup 1 KG - Indoguna;0.031;3.1
146;AID2OLS090;Daging Sapi Gandik Eye Round 1 KG - Indoguna;0.031;3.1
147;HSG1EMM017;EMMI Swiss Premium UHT Milk 1Liter;0.031;3.1
148;AID2OLS081;Daging Sapi Outside Potongan Teriyaki 500 GR - Indoguna;0.031;3.1
149;AID2OLS080;Daging Sapi Outside Potongan Sukiyaki 500 GR - Indoguna;0.031;3.1
150;AID2OLS079;Daging Sapi Outside Potongan Rendang 1 KG - Indoguna;0.031;3.1
