CardCode;DocType;Series;DocDate;DocDueDate;TaxDate;CardName;DocNum;NumAtCard;ItemDescription;VatGroup;LineTotal;AccountCode
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210838;SO22221200679;OB NO SO22221200679-221210838;PPNM_00;4436004;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210839;SO22221200683;OB NO SO22221200683-221210839;PPNM_00;25911580;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211034;SO22221201029;OB NO SO22221201029-221211034;PPNM_00;9600000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211026;SO22221200935;OB NO SO22221200935-221211026;PPNM_00;880785;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211027;SO22221200937;OB NO SO22221200937-221211027;PPNM_00;12241240;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211028;SO22221200938;OB NO SO22221200938-221211028;PPNM_00;9875670;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211075;SO22221201054;OB NO SO22221201054-221211075;PPNM_00;634365;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211244;SO22221201216;OB NO SO22221201216-221211244;PPNM_00;616050;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211023;SO22221200954;OB NO SO22221200954-221211023;PPNM_00;1981350;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211024;SO22221200955;OB NO SO22221200955-221211024;PPNM_00;6678840;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211025;SO22221200944;OB NO SO22221200944-221211025;PPNM_00;4100000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211560;SO22221201425;OB NO SO22221201425-221211560;PPNM_00;20342400;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211561;SO22221201422;OB NO SO22221201422-221211561;PPNM_00;17231000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211554;SO22221201397;OB NO SO22221201397-221211554;PPNM_00;14101995;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211555;SO22221201391;OB NO SO22221201391-221211555;PPNM_00;8425055;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211556;SO22221201390;OB NO SO22221201390-221211556;PPNM_00;8027964;3910003
