ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A04576;B3;G08;B3G08;B3G08-R01-09-C1;G8-1-09-C1;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;30;;427.30;16/08/22;;IGU 17/11/22;CGMU 5236753(40 FEET);
A04578;B3;G08;B3G08;B3G08-R01-10-C1;G8-1-10-C1;194;AUS FRZ LAMB SHOULDER B/IN SQUARE CUT MARUNGGA MARBLE IW /VAC;FREE;CEDAR MEAT;EST 206;AUS LAMB;AAU2MUL077;25;;525.72;12/08/22;12/08/23;IGU 29/09/22;CGMU 3021545 (20 FEET);
A04579;B3;G08;B3G08;B3G08-R01-10-C1;G8-1-10-C1;56;US 121 FRZ SHORT PLATE S/T VP CH OR HIGHER;FREE;SWIFT;EST 969G;US 2ND;AUS2SWF038;25;;411.27;10/10/22;;IGU 05/01/23;OOLU 6285546 (40 FEET);58216/454986
A04580;B3;G08;B3G08;B3G08-R01-10-C2;G8-1-10-C2;104;AUS FRZ BRISKET B/IN;FREE;MIDFIELD;EST 180;AUS 2ND;AAU2MID059;30;;398.28;14/10/21;;SCA 29/11/21;HLXU 8753830 (40 FEET);
A04581;B3;G08;B3G08;B3G08-R01-11-C1;G8-1-11-C1;61;US FRZ BEEF CHUCK BACKSTRAP BLACK ANGUS;FREE;CREEKSTONE;EST 27;US 2ND;AUS2CRK011;30;;616.87;09/06/21;;SCA 23/12/21;CXRU 1546183 (40 FEET);
A04582;B3;G08;B3G08;B3G08-R01-11-C2;G8-1-11-C2;132;US FRZ BEEF TRIMMING 65 CL;FREE;FARMERS;EST 17202A;US 2ND;AUS2SWF063;15;;408.30;14/03/22;;CKI 16/07/22;TXGU 9009455 (40 FEET);44002
A04584;B3;G08;B3G08;B3G08-R01-12-C2;G8-1-12-C2;125;AUS FRZ BEEF INSIDE S GF BLACK ANGUS MB 2+ ;FREE;KILCOY (EBONY);EST 640;AUS 2ND;AAU2KIL016;25;;503.92;06/03/23;05/03/25;SCA 15/04/23;SEGU 9449877 (40 FEET);
A04585;B3;G08;B3G08;B3G08-R01-13-C1;G8-1-13-C1;44;US 130 CHUCK SHORT RIB B/IN SELECT CLASSIC HEREFORD;FREE;GOP;EST 960A;US 2ND;AUS2GOP065;16;;483.89;23/03/22;;CKI 09/07/22;TTNU 8120037 (40 FEET);KARTON MERAH
A04587;B3;G08;B3G08;B3G08-R01-14-C1;G8-1-14-C1;91;US FRZ BEEF HANGING TENDER;FREE;SWIFT;EST 969G;US 2ND;AUS2JBS019;22;23;364.85;20/07/22;;IGU 27/12/22;SEKU 9006580 (40 FEET);
A04591;B3;G08;B3G08;B3G08-R01-16-C1;G8-1-16-C1;;AUS FRZ BEEF CHUCK A IW;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV016;30;;458.60;22/03/23;;CKI 18/04/23;TLLU 1093998 (40 FEET);
