bincode,AbsEntry
B1F07-R00-19-D2,361
B1F07-R00-19-E1,362
B1F07-R00-19-E2,363
B1F07-R00-19-F1,364
B1F07-R00-19-F2,365
B1F07-R00-19-G1,366
B1F07-R00-19-G2,367
B1F07-R00-20-00,368
B1F07-R00-20-A1,369
B1F07-R00-20-A2,370
B1F07-R00-20-B1,371
B1F07-R00-20-B2,372
B1F07-R00-20-C1,373
B1F07-R00-20-C2,374
B1F07-R00-20-D1,375
B1F07-R00-20-D2,376
B1F07-R00-20-E1,377
B1F07-R00-20-E2,378
B1F07-R00-20-F1,379
B1F07-R00-20-F2,380
B1F07-R00-20-G1,381
B1F07-R00-20-G2,382
B1F07-R00-21-00,383
B1F07-R00-21-A1,384
B1F07-R00-21-A2,385
B1F07-R00-21-B1,386
B1F07-R00-21-B2,387
B1F07-R00-21-C1,388
B1F07-R00-21-C2,389
B1F07-R00-21-D1,390
B1F07-R00-21-D2,391
B1F07-R00-21-E1,392
B1F07-R00-21-E2,393
B1F07-R00-21-F1,394
B1F07-R00-21-F2,395
B1F07-R00-21-G1,396
B1F07-R00-21-G2,397
B1F07-R00-22-00,398
B1F07-R00-22-A1,399
B1F07-R00-22-A2,400
B1F07-R00-22-B1,401
B1F07-R00-22-B2,402
B1F07-R00-22-C1,403
B1F07-R00-22-C2,404
B1F07-R00-22-D1,405
B1F07-R00-22-D2,406
B1F07-R00-22-E1,407
B1F07-R00-22-E2,408
B1F07-R00-22-F1,409
B1F07-R00-22-F2,410
B1F07-R00-22-G1,411
B1F07-R00-22-G2,412
B1F07-R00-23-00,413
B1F07-R00-23-A1,414
B1F07-R00-23-A2,415
B1F07-R00-23-B1,416
B1F07-R00-23-B2,417
B1F07-R00-23-C1,418
B1F07-R00-23-C2,419
B1F07-R00-23-D1,420
B1F07-R00-23-D2,421
B1F07-R00-23-E1,422
B1F07-R00-23-E2,423
B1F07-R00-23-F1,424
B1F07-R00-23-F2,425
B1F07-R00-23-G1,426
B1F07-R00-23-G2,427
B1F07-R00-24-00,428
B1F07-R00-24-A1,429
B1F07-R00-24-A2,430
B1F07-R00-24-B1,431
B1F07-R00-24-B2,432
B1F07-R00-24-C1,433
B1F07-R00-24-C2,434
B1F07-R00-24-D1,435
B1F07-R00-24-D2,436
B1F07-R00-24-E1,437
B1F07-R00-24-E2,438
B1F07-R00-24-F1,439
B1F07-R00-24-F2,440
B1F07-R00-24-G1,441
B1F07-R00-24-G2,442
B1F07-R00-25-00,443
B1F07-R00-25-A1,444
B1F07-R00-25-A2,445
B1F07-R00-25-B1,446
B1F07-R00-25-B2,447
B1F07-R00-25-C1,448
B1F07-R00-25-C2,449
B1F07-R00-25-D1,450
B1F07-R00-25-D2,451
B1F07-R00-25-E1,452
B1F07-R00-25-E2,453
B1F07-R00-25-F1,454
B1F07-R00-25-F2,455
B1F07-R00-25-G1,456
B1F07-R00-25-G2,457
B1F07-R00-26-00,458
B1F07-R00-26-A1,459
B1F07-R00-26-A2,460
B1F07-R00-26-B1,461
B1F07-R00-26-B2,462
B1F07-R00-26-C1,463
B1F07-R00-26-C2,464
B1F07-R00-26-D1,465
B1F07-R00-26-D2,466
B1F07-R00-26-E1,467
B1F07-R00-26-E2,468
B1F07-R00-26-F1,469
B1F07-R00-26-F2,470
B1F07-R00-26-G1,471
B1F07-R00-26-G2,472
B1F07-R00-27-00,473
B1F07-R00-27-A1,474
B1F07-R00-27-A2,475
B1F07-R00-27-B1,476
B1F07-R00-27-B2,477
B1F07-R00-27-C1,478
B1F07-R00-27-C2,479
B1F07-R00-27-D1,480
B1F07-R00-27-D2,481
B1F07-R00-27-E1,482
B1F07-R00-27-E2,483
B1F07-R00-27-F1,484
B1F07-R00-27-F2,485
B1F07-R00-27-G1,486
B1F07-R00-27-G2,487
B1F07-R00-28-00,488
B1F07-R00-28-A1,489
B1F07-R00-28-A2,490
B1F07-R00-28-B1,491
B1F07-R00-28-B2,492
B1F07-R00-28-C1,493
B1F07-R00-28-C2,494
B1F07-R00-28-D1,495
B1F07-R00-28-D2,496
B1F07-R00-28-E1,497
B1F07-R00-28-E2,498
B1F07-R00-28-F1,499
B1F07-R00-28-F2,500
B1F07-R00-28-G1,501
B1F07-R00-28-G2,502
B1F07-R00-29-00,503
B1F07-R00-29-A1,504
B1F07-R00-29-A2,505
B1F07-R00-29-B1,506
B1F07-R00-29-B2,507
B1F07-R00-29-C1,508
B1F07-R00-29-C2,509
B1F07-R00-29-D1,510
B1F07-R00-29-D2,511
B1F07-R00-29-E1,512
B1F07-R00-29-E2,513
B1F07-R00-29-F1,514
B1F07-R00-29-F2,515
B1F07-R00-29-G1,516
B1F07-R00-29-G2,517
B1F07-R00-30-00,518
B1F07-R00-30-A1,519
